ori
 ,,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC,ANB_G,SP
,rate_100,0.0010513920734361605,0.48909295639114,1,-,-,0.1108398200030907,0.11077503745778064,,,2.0492892892892893
our
,rate_5,0.03641253308289934,0.36024733217635513,1.0,0.8703171917608987,3.6593692299162166,0.14048886124357818,0.1549053356282272,0.5236590439598037,0.001564146191762067,2.8570391872278664
,rate_10,0.01666053019145803,0.3904992699668168,1.0,0.8686452665474869,6.832141370361737,0.11593495894247771,0.13080771979985703,0.3298034216351763,0.0014108540793498444,2.5994108983799706
,rate_15,0.009742961898977831,0.41941902258816155,1.0,0.8663191037009763,9.605900693571263,0.11808989587221341,0.12402544111612639,0.25126081920808985,0.001433076655075123,2.4127294753517847
,rate_20,0.00695000350547849,0.42740977209515635,1.0,0.8839053476769004,11.931883355828397,0.11835409127822757,0.13078632559459077,0.5802806551171878,0.0013920575829096194,2.3622006870737837
,rate_25,0.005396385262011175,0.43323107581096154,1.0,0.8622042925000221,14.74858622259183,0.1195041913708875,0.12030682276947921,0.2482185192905507,0.001312962838749206,2.327510774454747
,rate_30,0.004063504782033234,0.44903703205020784,1.0,0.8837466525296185,17.568657206212766,0.11954852577651079,0.12479320248289369,0.7339665085763746,0.0013568548809748924,2.2434324633021703
,rate_35,0.0034397015485840713,0.45751569717663704,1.0,0.8793502954155574,19.26894070900972,0.12430102272441375,0.1297311271975181,0.6673808853700554,0.0013460227996148634,2.2004558404558403
,rate_40,0.0028980181126132044,0.46649832827665777,1.0,0.865609982636958,21.505485642697533,0.12131577288082525,0.12949192811794305,0.6989389804190478,0.0013664640777461923,2.1563092269326685
SRW
,rate-5,0.27605102040816326,0.07512418854885287,1.0,0.8328807699814057,3.5129469277414627,0.008666666666666668,0.011320754716981133,0.8276744263497721,0.002434899171229756,14.250448979591837
,rate-10,0.10969078540507109,0.09229892838224327,1.0,0.9453109234897837,6.840583350266963,0.0008666666666666666,0.004225352112676056,0.3605311130039701,0.002112240540222291,11.749696969696968
