id,x,y
0,-1.0565165,-0.5503264
1,-1.3333459,-0.24728669
2,-0.72838366,0.18851998
3,-1.3424374,-0.56885624
4,-1.2221248,-0.2657746
5,-1.222125,-0.26577416
6,-1.3424364,-0.56885886
7,-1.2221253,-0.26577532
8,-1.3424363,-0.56885993
9,-1.3424369,-0.56885725
10,-1.0568087,-0.62442595
11,-0.117771864,0.9789529
12,-1.2922053,-0.60362744
13,-1.2922047,-0.6036283
14,-1.2922057,-0.6036289
15,-1.1703174,-0.29097995
16,-1.1526792,-0.30687776
17,-1.1504371,-0.30963564
18,-1.1465899,-0.30477938
19,-1.0703013,-0.6383701
20,1.1118834,2.3485222
21,3.1710315,3.0701005
22,3.204654,2.7279587
23,3.2046518,2.727959
24,3.448152,2.8425276
25,3.183629,3.0783305
26,3.3654256,3.06158
27,3.448152,2.84253
28,3.4481528,2.842532
29,3.2046502,2.7279596
30,3.2046509,2.7279587
31,3.1836278,3.0783293
32,3.4514382,2.924769
33,3.3654215,3.0615819
34,3.1836283,3.0783293
35,3.3662293,3.0606012
36,3.204651,2.7279582
37,3.204649,2.7279603
38,3.20465,2.7279596
39,3.1836278,3.0783296
40,2.381977,3.0343933
41,-0.39051756,5.637358
42,-0.40854058,5.955352
43,-0.4209322,6.2528806
44,-0.4331749,6.5239887
45,-0.44080183,6.7420855
46,-0.4444558,6.894972
47,-0.4483297,6.999776
48,-0.45101008,7.0624323
49,-0.4519763,7.100327
50,-0.45236588,7.109112
51,-0.4518309,7.0976872
52,-0.45066366,7.065541
53,-0.44837937,6.9989133
54,-0.4445109,6.8921514
55,-0.44066653,6.7421427
56,-0.43284962,6.523627
57,-0.42094898,6.2522826
58,-0.40828943,5.9501767
59,-0.3922362,5.6235538
60,-0.36950582,5.3240867
61,-6.052431,5.9058037
62,-6.411284,5.6748433
63,-6.0524364,5.905811
64,-6.2182403,6.0061717
65,-6.052432,5.905807
66,-6.052436,5.9058104
67,-6.3056445,5.591129
68,-6.0524306,5.905803
69,-6.314727,5.986387
70,-6.052431,5.9058037
71,-6.305645,5.591129
72,-6.434955,5.8788857
73,-6.305645,5.591129
74,-6.3056407,5.591127
75,-6.32132,5.983679
76,-6.4374046,5.877639
77,-6.3057055,5.5911503
78,-6.305706,5.5911493
79,-6.4303155,5.885128
80,-6.014382,5.608117
81,-3.647856,0.62946343
82,-3.6801512,0.46947291
83,-3.3461854,0.69580793
84,-3.6873999,0.65136844
85,-3.4207108,0.70753443
86,-3.6107802,0.2834827
87,-3.4655204,0.22498779
88,-3.2880828,0.6564221
89,-3.3161852,0.28388956
90,-3.3251529,0.275678
91,-3.5273032,0.23831312
92,-3.309225,0.67409015
93,-3.3481355,0.25865313
94,-3.2209477,0.5521301
95,-3.3163545,0.6789043
96,-3.5525718,0.24780715
97,-3.4010713,0.23098987
98,-3.250218,0.6126802
99,-3.6431968,0.33285597
100,-3.6315308,0.6397409
101,1.8355907,2.896413
102,1.4291464,3.619591
103,-5.5029135,5.3129983
104,-5.24998,4.7816625
105,-2.680206,0.15006416
