id,x,y
1,1.5514975,3.6909907
0,5.2262034,-0.2768412
2,1.5522853,3.6909723
3,1.5524104,3.6910007
4,1.5523738,3.6909707
5,1.5524086,3.6910214
6,1.5523894,3.6912107
7,1.5524997,3.691193
8,1.5520343,3.6907148
9,1.5524311,3.691051
10,3.5197263,0.92561454
11,3.253737,0.68019384
12,3.2545056,0.67892843
13,3.683961,0.85383797
14,3.2534134,0.6766708
15,2.31786,0.3804024
16,2.248021,-0.124238715
17,2.9985156,-0.5324007
18,3.4909015,0.92780864
19,4.6151476,0.122104615
20,4.3005614,-0.5900734
21,-0.88591325,-3.8194447
22,-1.0935333,-3.8562198
23,-1.0935332,-3.8562202
24,-0.8859128,-3.8194447
25,-0.88591295,-3.819445
26,-0.8859126,-3.8194451
27,-1.093533,-3.85622
28,-1.0935333,-3.8562198
29,-0.97774494,-3.6923358
30,-1.0935332,-3.8562195
31,-0.8859131,-3.8194444
32,-0.977752,-3.6923342
33,-1.0935332,-3.8562198
34,-1.0545713,-3.7058897
35,-0.99817765,-3.6899493
36,-0.88591343,-3.8194447
37,-1.0072297,-3.6910207
38,-0.88591313,-3.8194456
39,-1.0941513,-3.855193
40,-0.66131586,-4.8359714
41,3.477101,0.92851573
42,3.7484472,1.9748775
43,4.194517,2.1689913
44,3.3176274,1.9840646
45,2.8176045,1.7614031
46,3.7506738,0.7374334
47,4.799384,1.5257639
48,3.7415934,0.61738396
49,3.6120634,0.44693008
50,2.4019496,1.5202706
51,3.7263575,0.80650645
52,4.443972,1.5678239
53,3.3901126,0.46874413
54,3.590703,0.4346716
55,3.3132648,0.84443086
56,2.5952847,-0.3998386
57,3.4377823,-0.8370534
58,1.4949111,0.5977403
59,3.5418584,0.92292726
60,1.1852671,0.571241
61,-6.4507127,1.4567357
62,-5.914649,1.6777995
63,-6.0265636,1.2393721
64,-5.987556,1.5362669
65,-6.135706,1.5579649
66,-5.8422685,1.519431
67,-6.1331673,1.5550523
68,-6.2123523,1.7485982
69,-6.0334344,1.710058
70,-6.157773,1.3711877
71,-6.046556,1.7993306
72,-6.034979,1.7283535
73,-6.284993,1.4749005
74,-6.1361923,1.557506
75,-6.29963,1.6847556
76,-6.214719,1.3334532
77,-5.959169,1.331367
78,-6.3632436,1.4077729
79,-6.1276884,1.5513704
80,-6.4476285,1.8390317
81,4.819192,0.64537394
82,5.1984243,-3.1316454
83,3.6740751,0.49620184
100,5.5958343,-0.6642412
84,5.199281,-3.131987
85,5.198181,-3.1320064
86,5.059354,0.9732155
87,5.198416,-3.1318345
88,2.2669296,1.0536615
89,3.2838082,0.79696256
90,5.1984353,-3.1320436
91,5.1990414,-3.131965
92,3.7375224,0.6120055
93,3.844316,-0.6246683
94,5.1990366,-3.1316676
95,5.1985345,-3.1317308
96,3.3021586,0.8269269
97,3.721489,0.56095934
98,5.3307366,-2.8420687
99,5.1994333,-3.131284
101,3.3577106,0.48687077
102,3.3490613,0.49683875
103,3.366052,0.4820898
104,3.710782,0.82668304
105,3.489883,0.43495712
