id,x,y,com,tag,H,du,xin
0,-18.473536,17.26557,0,0,0.548954434,0,0
1,-13.144423,18.873037,0,0,0.266764988,1,0
2,-10.657715,19.404612,0,0,0.609840305,0,0
3,-19.098938,23.457142,0,0,0.966451629,0,0
4,-21.124775,21.894236,0,0,1.095795255,0,0
5,-19.889008,22.508114,0,0,1.023037066,0,0
6,-27.943748,15.59478,0,0,1.198183948,0,0
7,-28.561033,4.001475,0,0,0.961236605,0,0
8,-16.909323,10.241423,0,0,1.210810026,1,0
9,0.25024614,22.609219,0,0,1.405639062,0,0
10,-14.882078,18.547577,0,0,0.235193382,0,0
11,-27.371635,19.12717,0,0,1.167436723,0,0
12,-28.502571,20.751217,0,0,1.392147224,0,0
13,-20.539944,10.04407,0,0,1.16608706,0,0
14,-19.035103,13.391649,0,0,0.684038436,0,0
15,-12.915316,21.15748,0,0,0.485460761,0,0
16,-6.7722373,17.642881,0,0,1.210810026,0,0
17,-3.3115149,21.137873,0,0,0.963745994,0,0
18,-4.640904,19.919687,0,0,1.105013997,0,0
19,-17.393673,17.172499,0,0,0.774243303,0,0
20,-25.893604,21.336573,0,0,1.301574289,0,0
21,-15.699161,22.062157,0,0,0.309543429,0,0
22,-33.039772,13.491407,0,0,0.391243564,0,0
23,-0.2899009,20.996164,0,0,1.351644115,0,0
24,-22.677767,22.492395,0,0,1.267443804,0,0
25,-28.730625,23.066525,0,0,1.359992492,0,0
26,-14.646158,21.892105,0,0,0.297472249,0,0
27,-3.0136786,22.903126,0,0,1.105013997,0,0
28,-28.672945,12.740776,0,0,0.41381685,0,0
29,-19.915678,27.584496,0,0,1.177022555,0,0
30,-11.775756,18.713526,0,0,0.485460761,0,0
31,-20.37443,21.587444,0,0,0.993897264,0,0
32,-32.00499,13.243478,0,0,0.353359335,0,0
33,-5.7644186,18.354712,0,0,1.221047785,0,0
34,-29.646152,9.066414,0,0,0.749595257,0,0
35,-26.34125,7.9932947,0,0,0.978015557,0,0
36,-10.533968,16.650362,0,0,1.014097656,0,0
37,-8.991451,11.22372,0,0,1.399581231,0,0
38,-13.801915,20.660847,0,0,0.286396957,0,0
39,-12.950159,14.229642,0,0,1.312430802,0,0
40,-17.075039,18.323315,0,0,0.426228657,0,0
41,-30.430773,13.003671,0,0,0.41381685,0,0
42,-2.1601791,25.265985,0,0,1.021455466,0,0
43,-24.815771,6.434835,0,0,1.236160254,0,0
44,-21.430994,14.080612,0,0,0.337290067,0,0
45,-28.508549,21.77232,0,0,1.44064545,0,0
46,-21.814373,19.66313,0,0,0.888686553,0,0
47,-10.3437605,23.347326,0,0,1.04884126,0,0
48,-17.683622,14.850135,0,0,0.785235442,0,0
49,-28.251017,13.888498,0,0,0.684038436,0,0
50,-14.660172,15.613599,0,0,0.774243303,0,0
51,-21.684961,27.68894,0,0,1.240670532,0,0
52,-18.28697,3.9729939,0,0,1.530493057,0,0
53,-14.758379,9.428356,0,0,1.495824229,0,0
54,-17.485462,27.849014,0,0,0.834347023,0,0
55,-1.0253544,22.274645,0,0,1.199460293,0,0
56,-9.540685,9.357628,0,0,1.557431962,1,0
57,-2.0443356,3.0740113,0,0,1.34722304,0,0
58,-26.001314,10.481088,0,0,0.69984284,0,0
59,-20.532774,26.708143,0,0,1.01543128,0,0
60,-20.409771,-15.031917,0,1,1.530124965,0,0
61,-1.7224102,29.854954,0,0,1.224394445,0,0
62,-4.540897,25.881218,0,0,1.021455466,0,0
63,-21.760979,28.432291,0,0,1.295461844,0,0
64,18.031052,-10.562332,0,2,1.568316493,0,0
65,-18.582867,-1.6578618,0,0,1.332820405,0,0
66,-18.315075,19.168032,0,0,0.48217919,0,0
67,-9.772046,31.313732,0,0,0.391243564,0,0
68,-30.949078,20.99398,0,0,1.405639062,0,0
69,-22.321074,3.2488136,0,0,1.402081403,0,0
70,-15.784619,14.65068,0,0,0.856995718,0,0
