id,x,y,com,tag,H,du,xin
0,-30.513214,15.726788,0,0,0,0,0
1,-31.40592,17.541374,0,0,0,1,0
2,-39.722683,10.045639,0,0,0,0,0
3,-38.96961,28.254124,0,0,0.309543429,0,0
4,-34.48556,16.571863,0,0,0,0,0
5,-31.529436,30.4992,0,0,0,0,0
6,-46.1932,15.834975,0,0,0,0,0
7,-20.540846,22.984728,0,0,0,0,0
8,-32.2932,35.230255,0,0,0,1,0
9,-22.616241,4.5113816,0,0,0.297472249,0,0
10,-37.62123,10.566626,0,0,0,0,0
11,-42.339424,11.731946,0,0,0,0,0
12,-25.6543,31.57445,0,0,0,0,0
13,-22.33705,28.58461,0,0,0.258018669,0,0
14,-31.489828,16.675013,0,0,0,0,0
15,-33.70532,33.682873,0,0,0,0,0
16,-25.459402,20.727684,0,0,0,0,0
17,-8.475843,13.1155405,0,0,0.954434003,0,0
18,-16.547707,17.045944,0,0,0.309543429,0,0
19,-5.510193,8.405133,0,1,0.985228136,0,0
20,-31.707197,15.356213,0,0,0,0,0
21,-17.66958,13.744337,0,0,0.276195428,0,0
22,-34.40324,35.29754,0,0,0,0,0
23,-33.268005,19.42398,0,0,0,0,0
24,-29.995028,7.41699,0,0,0,0,0
25,-1.9947672,28.30084,0,1,0.74248757,0,0
26,-35.940334,9.548472,0,0,0,0,0
27,-30.318344,31.495216,0,0,0,0,0
28,-24.163683,31.729733,0,0,0,0,0
29,-37.96915,21.787233,0,0,0,0,0
30,-23.076471,25.4982,0,0,0,0,0
31,-25.427713,11.296149,0,0,0,0,0
32,-20.92074,21.469238,0,0,0,0,0
33,-20.150808,28.013712,0,0,0.286396957,0,0
34,-22.604828,12.5501795,0,0,0,0,0
35,-38.5564,22.601519,0,0,0,0,0
36,-48.70343,22.95839,0,0,0,0,0
37,-44.069817,20.088934,0,0,0,0,0
38,5.003653,10.647513,0,1,0.764204507,0,0
39,-41.9699,19.766632,0,0,0,0,0
40,-48.735306,17.039377,0,0,0,0,0
41,-21.520697,19.054298,0,0,0,0,0
42,-37.41791,18.85512,0,0,0,0,0
43,-41.42307,22.89795,0,0,0,0,0
44,-40.393024,28.487814,0,0,0,0,0
45,-26.789158,6.6792226,0,0,0,0,0
46,-4.2834597,11.85235,0,1,0.99107606,0,0
47,-29.288164,17.249834,0,0,0,0,0
48,-13.152759,27.564594,0,0,0,0,0
49,-23.64247,26.353443,0,0,0,0,0
50,-10.580771,30.890423,0,0,0.439496987,0,0
51,-19.35176,28.96965,0,0,0.276195428,0,0
52,-35.838383,30.186106,0,0,0.322756959,0,0
53,-28.685492,21.957905,0,0,0,0,0
54,-31.341963,34.05423,0,0,0,0,0
55,-48.393284,24.403824,0,0,0,0,0
56,-44.29328,17.389387,0,0,0,1,0
57,-27.673393,33.64823,0,0,0,0,0
58,-51.307404,15.612766,0,0,0,0,0
59,1.8479103,12.264905,0,1,0.836640742,0,0
60,-40.705387,9.394573,0,0,0,0,0
61,-50.362076,10.409186,0,0,0,0,0
62,-35.33289,14.735625,0,0,0,0,0
63,-27.314371,31.207949,0,0,0,0,0
64,-12.56811,9.982879,0,0,0.749595257,0,0
65,-45.72918,17.279282,0,0,0,0,0
66,-40.45887,30.117441,0,0,0,0,0
67,-23.024717,22.807009,0,0,0,0,0
68,-8.698499,16.849934,0,0,0.863120569,0,0
69,-41.377098,12.77718,0,0,0,0,0
70,-31.241745,31.194435,0,0,0,0,0
71,-12.322464,11.238288,0,0,0.721928095,0,0
72,-41.099163,11.268629,0,0,0,0,0
73,-34.018185,10.771898,0,0,0,0,0
74,-43.592342,9.987162,0,0,0,0,0
75,-34.110184,15.623479,0,0,0,0,0
76,-25.47893,24.15137,0,0,0,0,0
77,-27.995445,28.620874,0,0,0,0,0
78,-22.11874,17.26055,0,0,0,0,0
79,-49.490112,19.79033,0,0,0,0,0
80,-19.093666,36.130165,0,0,0,0,0
81,-32.061607,21.637047,0,0,0,0,0
82,-36.00769,25.231544,0,0,0.286396957,0,0
83,-26.673796,8.092846,0,0,0,0,0
84,-19.226936,14.253699,0,0,0.242292189,0,0
85,-33.31811,28.440765,0,0,0.371232327,0,0
86,-16.429361,12.914171,0,0,0.258018669,0,0
87,-21.189495,2.8615632,0,0,0.337290067,0,0
88,-12.098619,23.718662,0,0,0,0,0
89,-37.714844,7.478608,0,0,0,0,0
90,-47.57541,12.406879,0,0,0,0,0
91,-20.043652,0.6339592,0,0,0.468995594,0,0
92,-42.109406,8.664821,0,0,0,0,0
93,-37.247574,3.6916096,0,0,0,0,0
94,-26.031519,12.083375,0,0,0,0,0
95,-48.14702,23.794653,0,0,0,1,0
96,-39.566742,23.716711,0,0,0,0,0
97,-17.439596,7.7748585,0,0,0,0,0
98,-50.084938,20.820908,0,0,0,1,0
99,-40.373215,19.141737,0,0,0,0,0
100,-42.03595,22.784151,0,0,0,0,0
101,-11.369509,14.633679,0,0,0.811278124,0,0
102,-36.67836,3.1115165,0,0,0,0,0
103,-7.205941,9.81722,0,0,1,0,0
104,-19.617765,35.7137,0,0,0,0,0
105,-50.60107,9.5857115,0,0,0,0,0
106,-14.439184,20.050774,0,0,0,0,0
107,-14.826131,16.603413,0,0,0.353359335,0,0
108,-21.895622,18.480154,0,0,0,0,0
109,-41.962345,15.920285,0,0,0,0,0
110,-42.340157,25.204893,0,0,0,0,0
111,-39.803154,5.871771,0,0,0,0,0
112,-50.116577,11.262456,0,0,0,0,0
113,-3.0264332,28.560211,0,1,0.764204507,0,0
114,-17.800808,25.538696,0,0,0.266764988,0,0
115,-39.36627,14.669788,0,0,0,0,0
116,-20.589499,1.9444373,0,0,0.337290067,0,0
117,-27.676405,8.590117,0,0,0,0,0
118,-46.70618,18.944796,0,0,0,0,0
119,-50.394703,14.936778,0,0,0,0,0
120,-26.582432,22.748539,0,0,0,0,0
121,-45.17315,24.596388,0,0,0,0,0
122,-23.769228,28.112337,0,0,0,0,0
123,-24.430693,9.986956,0,0,0,0,0
124,-30.032366,23.223658,0,0,0,0,0
125,-29.938076,25.299568,0,0,0,0,0
126,-23.875896,29.661339,0,0,0,0,0
127,-46.33268,13.35641,0,0,0,0,0
128,-35.28208,22.155687,0,0,0.266764988,0,0
129,-7.56902,30.798458,0,1,0.918295834,0,0
130,-35.572456,7.0515585,0,0,0,0,0
131,-17.788885,9.379404,0,0,0,0,0
132,-38.27443,23.246035,0,0,0.258018669,0,0
133,-17.806898,15.312375,0,0,0.258018669,0,0
134,-18.274437,14.351364,0,0,0.228538144,0,0
