id,x,y,com,tag,H,du,xin
0,-7.6529145,-9.719285,0,8,2.450825795,0,0
1,-7.7614026,-5.4421678,0,8,2.896291529,0,0
2,-23.656279,21.649952,0,10,3.022055209,0,0
3,-11.569773,-12.565118,0,8,2.771902372,0,0
4,-26.887936,3.1635952,0,15,2.842370993,1,0
5,-6.8169246,-4.234108,0,8,2.789898095,0,0
6,-28.750349,-11.911945,0,3,2.897849384,0,0
7,-27.959917,-16.59488,0,13,2.765957321,0,0
8,-30.075466,-13.793848,0,13,2.450825795,0,0
9,-25.139086,5.44323,0,15,2.280639062,0,0
10,-3.6035614,-39.25372,0,2,3.127986807,0,0
11,-3.1942585,-26.233067,0,2,3.38418372,1,0
12,-4.7141066,-9.784002,0,8,2.606238929,0,0
13,-12.381392,0.18599747,0,8,3.503258335,0,0
14,-4.09771,1.3733282,0,8,3.251629167,0,0
15,-14.400647,0.9617624,0,15,3.572431251,0,0
16,-14.501865,-28.64259,0,16,2.87314068,0,0
17,-3.7167587,-7.489249,0,8,2.655050539,0,0
18,-2.8461823,-14.792107,0,8,2.663532755,0,0
19,19.833534,-16.955275,0,14,2.753434386,0,0
20,-28.922005,-12.733599,0,3,2.655639062,0,0
21,-26.426702,-11.837984,0,3,2.642084685,0,0
22,-24.146742,-11.034546,0,3,2.88551303,0,0
23,-3.9387062,-36.992428,0,2,2.952819531,1,0
24,-23.524235,-13.655164,0,13,2.807354922,0,0
25,-24.347343,-12.995529,0,13,2.780639062,0,0
26,-2.5646808,-6.73135,0,8,2.748940047,0,0
27,-9.885112,-20.60535,0,8,3.039148672,0,0
28,-14.305294,5.6198463,0,15,3.238901257,0,0
29,-6.5920267,-31.374407,0,2,3.128085279,0,0
30,-33.20358,0.9843743,0,3,3.446439345,0,0
31,21.872736,35.67303,0,12,3.572469459,0,1
32,-16.346119,-27.356236,0,16,2.952819531,0,0
33,-27.465664,8.46395,0,15,2.413799565,0,0
34,-4.6524286,-39.232,0,2,3.127986807,0,0
35,-42.45263,20.570997,0,11,3.251629167,0,0
36,-21.239923,19.244337,0,10,2.446439345,1,0
37,-18.020506,-23.00321,0,13,2.721928095,0,0
38,11.39394,34.450394,0,12,2.921928095,0,0
39,-5.669822,26.43839,0,7,3.056564762,0,0
40,21.928593,-16.761541,0,14,2.170950594,0,0
41,-37.76624,1.4446074,0,3,3.026986833,0,0
42,-25.661436,4.7676826,0,15,2.206238929,0,0
43,-14.90862,-36.307613,0,16,3.499227547,0,0
44,-43.36478,12.046994,0,11,3.155639062,0,0
45,45.775608,15.135722,0,5,2.950212065,0,0
46,-48.278355,8.851012,0,11,2.87314068,0,0
47,-48.376907,9.649829,0,11,2.87314068,0,0
48,35.535976,-2.0970976,0,1,3.207707064,0,0
49,-37.64365,-8.02952,0,3,3.238901257,0,0
50,-34.859535,1.3066155,0,3,3.326360408,0,0
51,29.648113,-30.268248,0,6,2.87314068,0,0
52,-14.487532,-41.888954,0,16,3.308270835,0,0
53,31.675602,10.871948,0,5,3.095795255,0,0
54,-18.237562,-35.116264,0,16,3.013070929,0,0
55,-11.530365,-46.881195,0,16,2.932999307,0,0
56,-12.542377,-13.92618,0,8,2.891851946,0,0
57,37.239063,-27.725779,0,6,3.48418372,0,0
58,-29.397984,-31.21405,0,13,3.238901257,0,0
59,30.161798,9.223266,0,5,2.75,0,0
60,0.039939214,-40.02014,0,2,3.447262499,1,0
61,-35.08555,-33.28252,0,13,2.321928095,0,0
62,-7.5555634,-46.879383,0,16,2.855388542,0,0
63,41.28826,19.204195,0,5,3.101881223,0,0
64,-31.929415,-29.133999,0,13,3.189898095,0,0
65,-38.72384,-9.309095,0,3,3.084962501,0,0
