id,x,y,com,tag,H,du,xin
0,4.2346687,47.055973,0,1,3.788754914,0,0
1,-7.173838,2.3615541,0,11,3.463280518,0,0
2,9.462865,12.257296,0,9,3.391892645,0,0
3,-28.206089,-8.107263,0,4,3.281036113,0,0
4,26.880178,-32.714035,0,13,3.688721876,1,0
5,-24.058935,-8.1374855,0,4,3.392147224,0,0
6,-1.3259623,-3.598566,0,11,3.093069208,0,0
7,27.855606,-14.647811,0,16,3.303701696,0,0
8,25.08052,-5.5160656,0,16,3.688721876,0,0
9,12.6261,-26.918158,0,5,2.721928095,0,0
10,31.377157,-25.079853,0,13,3.323231429,0,0
11,3.4387035,-46.779945,0,12,3.447401505,1,0
12,24.326689,-11.402907,0,16,3.041446071,0,0
13,12.01708,-30.839241,0,5,2.87314068,0,0
14,-4.9909782,-15.219354,0,8,3.238901257,0,0
15,-24.3502,14.083201,0,15,3.884155095,0,0
16,-31.72523,-6.7795715,0,4,3.59326969,0,0
17,-23.688871,8.471344,0,15,3.5,0,0
18,-18.633904,25.454311,0,3,3.70804815,0,0
19,17.715912,-21.730125,0,13,3.337175341,0,0
20,28.620922,-10.445019,0,16,3.482127207,0,0
21,29.214224,7.245641,0,2,3.308270835,0,0
22,-4.364586,-45.1714,0,12,3.708132065,0,0
23,29.318247,-28.337324,0,13,3.476023613,1,0
24,19.716894,-26.612783,0,13,3.235926351,0,0
25,-13.896563,39.096302,0,1,3.471354487,0,0
26,-40.580498,-15.203975,0,10,3.105672184,0,0
27,-4.0642653,36.72067,0,1,3.588354347,0,0
28,-9.585627,2.140541,0,11,3.745406426,0,0
29,-29.144152,-10.549767,0,4,3.189898095,0,0
30,-8.142475,35.951366,0,1,3.327819531,0,0
31,-26.96868,27.232468,0,3,3.390805482,0,1
32,7.9932437,28.167204,0,9,3.452819531,0,0
33,21.88455,-22.267485,0,13,3.638147696,0,0
34,5.8752704,15.862463,0,9,3.38418372,0,0
35,-11.245291,4.59385,0,11,3.169925001,0,0
36,-18.869112,21.50288,0,3,3.236857303,1,0
37,-28.250103,16.129492,0,15,3.58418372,0,0
38,26.217484,-14.072045,0,16,3.3273399,0,0
39,3.5483356,-25.053263,0,5,3.260828171,0,0
40,3.1671512,47.683895,0,1,3.855388542,0,0
41,-18.772287,-16.805096,0,8,3.40726823,0,0
42,14.170366,11.924127,0,2,3.125,0,0
43,0.06394568,-21.422924,0,5,3.75,0,0
44,-38.47436,-25.623728,0,10,3.576617645,0,0
45,-40.54657,-18.573235,0,10,3.628085279,0,0
46,30.457882,-28.374956,0,13,3.452878689,0,0
47,-18.409285,-9.515856,0,8,3.663532755,0,0
48,24.60799,29.306826,0,6,3.446439345,0,0
49,-6.2885957,-38.15137,0,0,3.499227542,0,0
50,14.111374,6.9825134,0,2,3.820888851,0,0
51,-40.314003,-17.852081,0,10,3.512188404,0,0
52,12.640963,-32.946728,0,5,3.106890596,0,0
53,23.728817,-41.139767,0,14,3.558518613,0,0
54,28.146801,-1.8053098,0,16,3.511085408,0,0
55,21.964638,51.704586,0,7,3.280639062,0,0
56,26.968225,-15.594336,0,16,3.471354487,0,0
57,-16.43475,21.26512,0,3,3.056564762,0,0
58,-13.130465,-16.620295,0,8,3.231946188,0,0
59,26.165623,23.341656,0,6,3.555414184,0,0
60,-42.15511,-25.967958,0,10,3.378783493,1,0
61,0.5313349,-47.255665,0,12,3.69951385,0,0
62,-12.068651,2.2978466,0,11,3.516027641,0,0
63,1.0373901,-21.253708,0,5,3.787143961,0,0
64,-6.169591,-34.6819,0,0,3.373557262,0,0
65,18.011597,11.07609,0,2,3.74832866,0,0
66,-26.350468,24.784029,0,3,3.308270835,0,0
67,1.008275,-49.683556,0,12,3.642489673,0,0
68,31.15731,17.496122,0,6,3.238901257,0,0
69,-40.771088,-8.5823145,0,10,3.572469459,0,0
70,28.30694,-46.56591,1,14,3.246439345,0,0
71,20.750961,37.92588,1,7,3.471354487,0,0
72,6.8564796,-23.811514,1,5,3.182005815,0,0
73,-1.5196134,35.839954,1,1,3.58418372,0,0
74,2.773278,-37.436897,1,12,3.175123135,0,0
75,21.261843,36.716187,1,7,3.5,0,0
76,2.553059,46.8119,1,1,3.930270372,0,0
77,-35.29788,-25.380484,1,10,2.846439345,0,0
78,-31.185991,2.7070756,1,4,3.202819531,0,0
79,-22.500233,12.9196415,1,15,3.688721876,0,0
80,4.532353,-48.34066,1,12,3.308270835,0,0
81,0.26552352,45.349182,1,1,3.827909782,0,0
82,1.908264,-35.277275,1,12,3.327819531,0,0
83,0.6577271,17.722374,1,9,3.084962501,0,0
84,-4.6103415,-49.86421,1,12,3.18418372,0,0
85,30.55144,41.485832,1,7,2.921928095,0,0
86,-21.558056,-8.90843,1,4,3.621928095,0,0
87,-21.92207,21.011532,1,3,3.555533151,0,0
88,-4.6769056,0.44690678,1,11,3.251629167,0,0
89,1.6688917,-20.115839,1,5,3.821928095,0,0
90,-9.828263,-42.63049,1,12,3.521928095,0,0
91,2.6349447,-31.59402,1,5,3.095795255,0,0
92,-6.89501,-17.922443,1,8,2.913977073,0,0
93,28.0509,34.31796,1,6,3.708132065,0,0
94,25.89918,-45.262886,1,14,3.501397825,0,0
95,-23.436844,19.737026,1,3,3.572431251,0,0
96,18.641087,19.497854,1,6,3.202819531,0,0
97,21.673216,11.809654,1,2,3.538310596,0,0
98,21.741415,42.71999,1,7,3.447262499,0,0
99,8.429833,13.23056,1,9,3.663532755,0,0
100,-19.82046,-8.279446,1,8,3.503258335,0,0
101,17.500633,-13.52206,1,16,3.093069208,0,0
102,-12.899003,43.235134,1,1,3.48418372,0,0
103,20.195393,-11.847914,1,16,3.084962501,0,1
104,-6.077666,45.866722,1,1,3.151363669,0,0
105,19.043285,44.749687,1,7,3.67326969,0,0
106,0.49844858,-50.293926,1,12,3.522571589,0,0
107,-18.281712,-25.714193,1,0,2.952819531,0,0
108,-29.379713,-7.9164405,1,4,3.292770194,0,0
109,4.0284166,48.57708,1,1,3.78418372,0,0
