com,v,rad
0,3.806464233,lle
0,3.033877869,le
0,0.012836954,sdne
0,0.074602991,gf
0,0.011610194,deepwalk
0,0.013686576,node2vec
1,3.893312675,lle
1,0.68970624,le
1,0.012730011,sdne
1,0.05771936,gf
1,0.011721081,deepwalk
1,0.013199195,node2vec
2,1.896764674,lle
2,0.343386726,le
2,0.013239533,sdne
2,0.206111475,gf
2,0.013258916,deepwalk
2,0.012863765,node2vec
3,0.154686429,lle
3,2.167221141,le
3,0.012830522,sdne
3,0.049536916,gf
3,0.011879518,deepwalk
3,0.012957269,node2vec
4,1.318451111,lle
4,0.167053008,le
4,0.012599822,sdne
4,4.665933609,gf
4,0.012200077,deepwalk
4,0.013916233,node2vec
5,0.621494394,lle
5,0.252145603,le
5,0.013489981,sdne
5,0.080518424,gf
5,0.011454659,deepwalk
5,0.01210006,node2vec
6,1.513755435,lle
6,0.628828927,le
6,0.012740987,sdne
6,0.1,gf
6,0.011350856,deepwalk
6,0.013712944,node2vec
7,0.332520141,lle
7,0.371526335,le
7,0.013306861,sdne
7,0.065912333,gf
7,0.012859446,deepwalk
7,0.012849555,node2vec
8,0.816223366,lle
8,2.528151272,le
8,0.012681486,sdne
8,0.033347244,gf
8,0.011222614,deepwalk
8,0.013078232,node2vec
9,0.431846201,lle
9,2.817498808,le
9,0.012524094,sdne
9,0.05214087,gf
9,0.012338087,deepwalk
9,0.012910554,node2vec
10,0.491472866,lle
10,0.17129143,le
10,0.013810055,sdne
10,0.05607721,gf
10,0.010982407,deepwalk
10,0.013388586,node2vec
11,0.163643966,lle
11,0.513469638,le
11,0.012998058,sdne
11,0.073363102,gf
11,0.011064697,deepwalk
11,0.014345671,node2vec
12,0.529433328,lle
12,0.175819748,le
12,0.012346909,sdne
12,0.059704614,gf
12,0.010955031,deepwalk
12,0.013740988,node2vec
13,0.220814659,lle
13,2.287608766,le
13,0.012992044,sdne
13,0.066171029,gf
13,0.011758005,deepwalk
13,0.01405553,node2vec
14,0.170724713,lle
14,0.183533793,le
14,0.012859027,sdne
14,0.1,gf
14,0.011361543,deepwalk
14,0.013601335,node2vec
15,3.985377785,lle
15,0.250683677,le
15,0.012663708,sdne
15,0.1,gf
15,0.012088604,deepwalk
15,0.014639939,node2vec
16,0.568988214,lle
16,3.076724733,le
16,0.01327157,sdne
16,0.1,gf
16,0.011038523,deepwalk
16,0.013601559,node2vec
