id,x,y,com,tag,H,du,xin
0,-33.182816,-32.92527,0,12,2.447925268,0,0
1,-28.447918,-14.256752,0,4,2.790524334,0,0
2,-33.20639,-32.741665,0,12,2.482018857,0,0
3,-31.330349,-36.47604,0,0,2.538690207,0,0
4,3.2708845,-16.343939,0,5,2.699633289,1,0
5,-28.743896,-40.486572,0,0,2.28950147,0,0
6,-23.169867,-46.736443,0,2,1.046856214,0,0
7,-33.295048,-19.703894,0,11,2.608515744,0,0
8,-27.367765,-42.2871,0,0,2.181385388,0,0
9,-33.491314,-31.62551,0,12,2.54580155,0,0
10,-30.486319,-16.247816,0,11,2.660367143,0,0
11,-19.840977,-10.579582,0,4,2.834553901,1,0
12,-33.838013,-20.807869,0,11,2.588786615,0,0
13,-27.059498,-42.647537,0,0,2.172753589,0,0
14,-33.326107,-32.257698,0,12,2.522961722,0,0
15,-32.993256,-33.407516,0,12,2.428546405,0,0
16,-34.008575,-29.60321,0,12,2.56755383,0,0
17,-33.28462,-32.452095,0,12,2.58011295,0,0
18,-23.12075,-46.778107,0,2,1.046856214,0,0
19,-24.992907,-44.900448,0,0,1.390693633,0,0
20,-33.693073,-20.37,0,11,2.65553769,0,0
21,-3.0750778,-13.598772,0,5,2.726645222,0,0
22,-34.179585,-22.148907,0,11,2.611149087,0,0
23,-34.485897,-25.199728,0,12,2.677905411,1,0
24,-27.393242,-42.240776,0,0,2.181385388,0,0
25,-33.318134,-19.742218,0,11,2.608515744,0,0
26,5.861554,-17.26096,0,7,2.704165559,0,0
27,-0.6072949,-14.705619,0,5,2.769783629,0,0
28,-27.250788,-42.42608,0,0,2.172753589,0,0
29,-14.91749,-10.456582,0,9,2.720887829,0,0
30,-28.946346,-40.219837,0,0,2.294610635,0,0
31,-20.62109,-10.6885805,0,4,2.796385735,0,1
32,-27.556583,-42.03654,0,0,2.193206997,0,0
33,-32.7519,-33.906864,0,12,2.423306478,0,0
34,7.940957,-17.895237,0,7,2.678042796,0,0
