id,x,y,com,tag,H,du,xin
0,1.1649742,-4.805904,0,7,3.049452073,0,1
1,-19.471186,15.5247965,0,1,2.608110893,0,0
2,-19.074398,-11.726874,0,8,2.842370993,0,0
3,4.5855284,5.531801,0,3,2.855539001,0,0
4,11.650301,7.209945,0,9,1.752715279,0,0
5,-13.570711,23.701721,0,5,3.127620407,0,0
6,-4.8550625,3.136597,0,6,2.646439345,1,0
7,-15.868488,-12.775139,0,8,2.625814584,0,0
8,25.788464,-15.265128,0,4,2.549255397,0,0
9,-9.330669,13.829707,0,1,2.934693952,0,0
10,-5.045313,-15.651858,0,2,3.105653242,0,0
11,-14.914878,-4.9367414,0,8,2.801052103,0,0
12,-5.5575037,18.54465,0,5,2.771902372,0,0
13,5.521814,-20.438843,0,2,2.855388542,0,0
14,26.074131,-14.63142,0,4,2.549255397,0,0
15,-10.3708,24.184793,0,5,2.954986856,0,0
16,30.718473,-5.8618684,0,4,2.828781483,0,0
17,-15.877917,1.5403122,0,8,2.968918564,0,0
18,-9.707004,10.519342,0,1,2.818375828,0,0
19,25.476984,-13.2583275,0,4,2.555036533,0,0
20,-8.553896,-5.1866965,0,6,2.894190059,0,0
21,4.375002,-5.159994,0,7,3.022629779,0,0
22,16.494583,-13.653332,0,0,2.865759012,0,0
23,0.9439504,12.6137905,0,3,2.946837499,0,0
24,0.46154496,4.378697,0,3,2.857877097,0,0
25,-3.7616704,-22.390667,0,2,3.089889603,0,0
26,-3.114432,-13.380276,0,2,3.233173565,0,0
27,-8.528735,21.390287,0,5,2.996630848,0,0
28,-4.1436696,-23.79277,0,2,2.919690574,0,0
29,29.838552,-5.902367,0,4,2.828781483,0,0
30,-4.4933233,-14.158782,0,2,3.138460067,0,0
31,17.951231,-11.653145,0,0,2.777909649,0,0
32,13.37517,-13.18897,0,0,3.025204706,0,0
33,-1.6582204,-21.518604,0,2,2.840199877,0,0
34,-17.006014,24.56518,0,5,3.106318487,0,0
35,-10.905967,14.773795,0,1,2.804585169,0,0
36,10.830892,-16.292742,0,0,3.039148672,0,0
37,14.424855,-11.975084,0,0,3.015277849,0,0
38,12.810802,0.6980352,0,9,3.079225802,0,0
39,-11.195787,10.44146,0,1,2.888884071,0,0
40,12.880584,3.441488,0,9,2.710070621,0,0
41,13.261522,1.9335884,0,9,3.079225802,0,0
42,-12.915396,14.1186495,0,1,2.55605421,0,0
43,14.705925,-1.6574907,0,9,3.120750543,0,0
44,12.231032,7.317325,0,9,1.752715279,0,0
45,-9.968319,24.596014,0,5,3.00869497,0,0
46,11.439612,-2.4333012,0,9,2.994111719,0,0
47,5.9590335,14.113955,0,3,2.723219672,0,0
48,19.480429,-3.285534,0,9,2.903513046,0,0
49,-17.245756,-10.980773,0,8,2.842370993,0,0
50,-4.9957232,-4.03477,3,6,3.096654087,0,0
51,8.515688,-7.2812815,3,7,3.010570934,0,0
52,-18.144133,-11.323571,3,8,2.842370993,0,0
53,-22.805395,11.002094,3,1,2.289246429,0,0
54,-1.7563349,-12.806187,3,2,3.222579762,0,0
55,-19.929905,20.680058,3,5,2.862683189,0,0
56,-4.9445233,4.288254,3,3,2.725480557,0,0
57,-14.065845,26.18001,3,5,2.980215393,0,0
58,31.586082,-6.3783994,3,4,2.869737973,0,0
59,-15.626398,-3.0256097,3,8,2.97220928,0,0
60,-6.412596,-15.133208,3,2,3.065957321,0,0
61,1.2505904,-12.776494,3,2,2.83977554,0,0
62,-6.705622,18.520126,3,5,3.070847094,0,0
63,4.199863,-21.264177,3,2,2.625814584,0,0
64,-14.598274,10.738301,3,1,2.891378171,0,0
65,8.218339,-7.469549,3,7,3.010570934,0,0
66,-18.772602,-5.386722,3,8,2.663290808,0,0
67,7.9623075,-18.85225,3,0,3.175123135,0,0
68,16.144632,-14.70988,3,0,2.843074189,0,0
69,25.458565,-12.209278,3,4,2.774401919,0,0
70,-19.266973,16.924541,3,1,2.738921102,0,0
71,3.0225654,-5.210972,3,7,2.945038698,1,0
72,10.984514,-15.662272,3,0,3.013070929,0,0
73,-14.625627,26.82595,3,5,2.861192552,0,1
74,-2.9218152,9.622951,3,3,3.08418372,0,0
75,-6.133511,-21.808971,3,2,3.038320189,0,0
76,-1.0383961,-2.4214382,3,6,2.984234165,0,0
77,-8.435975,18.587843,3,5,2.931720688,0,0
78,-3.0013335,-23.166426,3,2,2.840199877,0,0
79,-10.980966,26.725992,3,5,3.076103171,0,0
80,-10.156332,14.640156,3,1,2.919372149,0,0
81,26.983961,-14.421709,3,4,2.549255397,0,0
82,13.062033,-15.138881,3,0,3.039737686,1,0
83,-3.5758603,12.04753,3,3,3.027292585,1,0
84,14.834708,-2.6706817,3,9,3.054585169,0,0
85,-3.834678,-21.600193,3,2,3.070297004,0,0
86,-14.860813,-0.19615473,3,8,3.149255397,0,0
87,14.318742,-11.057973,3,0,2.992307154,0,0
88,0.8934047,-12.021005,3,2,2.83977554,0,0
89,9.960204,-3.3872404,3,7,2.909674327,0,0
90,-18.6575,-4.1904626,3,8,2.733206219,0,0
91,11.733864,0.95142734,3,9,2.946387519,0,0
92,13.248855,-10.608967,3,0,3.022767182,0,0
93,13.099142,-1.257271,3,9,2.918182163,1,0
94,-5.951613,14.668354,3,3,3.042338207,0,0
95,14.8761835,-8.225855,3,0,3.185667488,0,0
96,17.85444,-2.4186237,3,9,3.146439345,0,0
97,2.4569252,-4.404936,3,7,3.118275161,0,0
98,-0.06879478,-21.120556,3,2,2.933784543,0,0
99,-1.7392845,-19.608355,3,2,3.01868857,0,0
100,10.767015,0.19156629,1,9,2.822717805,0,0
101,-14.05285,1.2307193,1,8,3.098686167,0,0
102,15.935612,-12.256104,1,0,3.017307665,0,0
103,3.6169248,5.823082,1,3,2.836038815,0,0
104,3.18909,2.379379,1,7,2.888154507,0,0
105,-16.95198,21.562174,1,5,3.069211927,0,0
106,10.398336,0.6771129,1,9,2.8152024,0,0
107,-4.8839397,10.30858,1,3,2.976286597,0,0
108,31.136177,-6.8902235,1,4,2.869737973,0,0
