id,x,y,com,tag,H,du,xin
0,5.319514,7.03295,0,6,2.974937501,0,1
1,-3.342768,7.14488,0,2,2.984234165,0,0
2,25.55253,-18.467121,0,3,2.270942422,0,0
3,-6.263714,0.3860611,0,7,3.197159723,0,0
4,-3.5429926,4.9988103,0,2,2.866587106,0,0
5,7.627471,2.6662862,0,0,2.675698135,0,0
6,2.759763,-4.2265916,0,0,2.974937501,1,0
7,-1.8756686,-12.339735,0,1,2.584962501,0,0
8,-7.8557725,-10.2242985,0,7,2.459147917,0,0
9,-15.472843,15.916108,0,9,2.418295834,0,0
10,-9.032155,0.23433998,0,7,3.005314857,0,0
11,-5.175197,6.8635945,0,2,2.753434386,0,0
12,11.351106,-19.06385,0,5,3.272804327,0,0
13,-12.987754,2.7380192,0,7,1.921185497,0,0
14,-1.5852581,12.596457,0,2,3.127986807,0,0
15,-15.677882,1.495813,0,7,2.495602924,0,0
16,-4.793513,-17.275316,0,1,2.965583936,0,0
17,-8.418661,2.173295,0,7,2.816307519,0,0
18,-10.6935625,-22.453348,0,1,2.86382639,0,0
19,-12.423916,-0.14051232,0,7,2.063458299,0,0
20,-26.359371,5.6653843,0,8,2.732158891,0,0
21,-15.449638,0.4318301,0,7,3.00719649,0,0
22,-1.2166535,4.0602393,0,2,3.028639312,0,0
23,4.3172793,4.5349946,0,0,2.974937501,0,0
24,12.299864,-12.284653,0,5,2.984234165,0,0
25,13.887922,-24.908455,0,5,3.056564762,0,0
26,-15.264621,-22.962217,0,1,2.368522528,0,0
27,10.834842,-10.202254,0,0,2.686278124,0,0
28,-14.701115,2.162649,0,7,2.28778372,0,0
29,-8.920104,-10.398454,0,7,2.69951385,0,0
30,13.845333,9.772654,0,6,2.89542387,0,0
31,-9.912665,-10.8128395,0,7,2.638920595,0,0
32,-1.1097264,20.317616,0,4,2.655639062,0,0
33,10.9322405,5.4500647,0,6,2.931208949,0,0
34,18.935778,-3.741719,0,3,3.152391278,0,0
35,-14.281466,-19.573442,0,1,2.378783493,0,0
36,-12.995794,15.672391,0,9,2.411602218,0,0
37,16.700665,12.834023,0,6,2.727217001,0,0
38,10.085269,18.032175,0,6,2.706890596,0,0
39,-25.710754,11.730667,0,8,2.688721876,0,0
40,25.36215,-17.136536,0,3,2.822181959,0,0
41,9.000374,-16.463198,0,5,3.213513256,0,0
42,28.26473,-10.512343,0,3,2.413799565,0,0
43,-17.112127,21.519289,0,9,2.965957321,0,0
44,-3.760005,18.922464,0,4,2.842370993,0,0
45,-12.877019,-19.270912,0,1,2.75505762,0,0
46,15.742399,-5.655272,0,3,2.688721876,0,0
47,-12.874687,10.695489,0,2,2.573557262,0,0
48,24.767378,-5.6908784,0,3,3.101881223,0,0
49,-25.079796,15.341123,0,8,3.085055103,0,0
50,-0.8325983,8.830385,3,2,2.69866046,0,0
51,-6.5533953,-2.6622906,3,7,2.952819531,0,0
52,-3.4466274,-19.326218,3,1,2.950212065,0,0
53,0.9926644,-10.604847,3,0,2.656564762,0,0
54,14.847672,-21.729658,3,5,2.98418372,0,0
55,-16.24858,16.108145,3,9,2.246439345,0,0
56,7.6789193,0.50865364,3,0,3.006238929,0,0
57,-1.2373848,1.5953645,3,0,3.202819531,0,0
58,-2.779445,-8.399336,3,0,2.692380602,0,0
59,-12.025676,17.80251,3,9,2.656564762,0,0
60,-10.746023,14.302058,3,2,2.411602218,0,0
61,-5.8476505,-17.705072,3,1,2.915195994,0,0
62,0.5237032,11.2416935,3,2,2.827819531,0,0
63,-0.5127486,-7.9065623,3,0,2.415922064,0,0
64,11.016648,13.04083,3,6,3,0,0
65,-8.274553,11.690478,3,2,3.013070929,0,0
66,-22.34379,19.204262,3,9,2.603157987,0,0
67,9.026867,8.495318,3,6,2.970840013,0,0
68,11.288292,-13.438936,3,5,3.010570934,0,0
69,-6.028285,-14.041297,3,1,3.027169118,0,0
70,3.677018,6.2581453,3,6,2.933954578,0,0
71,8.234139,12.744033,3,6,2.846439345,1,0
72,8.570535,-6.5368795,3,0,2.855388542,0,0
73,-15.796989,-9.902854,3,7,1.921928095,0,1
74,-17.229637,-2.5478458,3,7,3.056564762,0,0
75,21.630203,-2.8118842,3,3,3.175123135,0,0
76,-13.706742,6.32372,3,2,2.459147917,0,0
77,-4.575691,-6.17658,3,0,2.355388542,0,0
78,1.5614041,-6.7469993,3,0,2.822181959,0,0
