com,v,rad
0,1.022654325,lle
0,1.850941454,le
0,0.629553093,sdne
0,0.705488935,deepwalk
0,0.422158676,gf
0,0.329892604,node2vec
1,1.362424343,lle
1,0.966038615,le
1,0.361397074,sdne
1,0.936122684,deepwalk
1,0.350254414,gf
1,0.485855684,node2vec
2,1.161603274,lle
2,1.552770595,le
2,0.70434334,sdne
2,0.548559343,deepwalk
2,0.50827152,gf
2,0.657038901,node2vec
3,1.252600811,lle
3,1.270244689,le
3,0.345821493,sdne
3,0.636925994,deepwalk
3,0.45162564,gf
3,0.353395492,node2vec
4,1.326050084,lle
4,0.947773151,le
4,0.412015448,sdne
4,0.821927304,deepwalk
4,0.396810635,gf
4,0.33838414,node2vec
5,1.206033326,lle
5,1.042979201,le
5,0.400833826,sdne
5,0.706073982,deepwalk
5,0.59593721,gf
5,0.389593111,node2vec
6,1.159053751,lle
6,1.552735931,le
6,0.542195124,sdne
6,0.603768649,deepwalk
6,0.631632134,gf
6,0.584984745,node2vec
7,1.097242418,lle
7,1.108874217,le
7,0.600985331,sdne
7,0.617179608,deepwalk
7,0.419496766,gf
7,0.398674959,node2vec
8,1.598265931,lle
8,1.253097836,le
8,0.369970768,sdne
8,0.831221787,deepwalk
8,0.404711853,gf
8,0.382881002,node2vec
9,1.318656654,lle
9,1.110728684,le
9,0.558224458,sdne
9,0.656350864,deepwalk
9,0.583731388,gf
9,0.599994705,node2vec
