id,x,y
0,-0.26930276,-5.4495835
1,-1.1188672,-0.8574294
2,-1.1698763,-0.121798
3,-1.2424952,0.33812425
4,-16.862423,28.7948
5,-17.06797,29.047487
6,-17.274984,29.280056
7,-17.498674,29.506323
8,-17.734135,29.729467
9,-17.972809,29.94261
10,-18.218655,30.149996
11,-18.463074,30.353495
12,-18.696325,30.54956
13,-18.92267,30.70784
14,-19.208178,30.75011
15,-19.30703,31.087837
16,-19.461264,31.31277
17,-19.831154,31.007448
18,-20.056875,30.980412
19,-20.001125,31.576027
20,-20.1318,31.724329
21,-20.307226,31.828344
22,-20.623322,31.191904
23,-20.765396,31.146418
24,-20.731318,31.994942
25,-20.972305,31.43007
26,-21.01743,32.02634
27,-21.182426,32.02408
28,-21.401836,31.308252
29,-21.545511,31.330318
30,-21.654741,32.006824
31,-21.855925,31.95796
32,-22.025381,31.352957
33,-22.236729,31.855106
34,-22.457209,31.758265
35,-22.634409,31.32128
36,-22.932142,31.67141
37,-23.157812,31.460558
38,-23.4373,31.471188
39,-23.714151,31.357622
40,-24.002613,31.283266
41,-24.285778,31.19924
42,-24.589575,31.121458
43,-24.883045,31.010729
44,-25.172304,30.894995
45,-25.462225,30.795395
46,-25.751146,30.678186
47,-26.03575,30.535196
48,-26.316391,30.408127
49,-26.59156,30.278461
50,-26.859688,30.134876
51,-27.084564,29.930204
52,-27.39991,29.886984
53,-27.576115,29.63335
54,-27.894772,29.607214
55,-28.000011,29.287909
56,-28.38278,29.364765
57,-28.33249,28.9246
58,-28.782742,29.095692
59,-28.692293,28.62966
60,-29.134106,28.78391
61,-28.925673,28.27168
62,-29.420095,28.49017
63,-29.590298,28.353832
64,-29.263557,27.849789
65,-29.88516,28.099844
66,-29.613598,27.675339
67,-29.60887,27.456202
68,-30.20519,27.671005
69,-30.267508,27.485067
70,-29.833185,27.003716
71,-30.427803,27.12227
72,-30.06214,26.722794
73,-30.641994,26.791609
74,-30.297735,26.403648
75,-30.789299,26.384289
76,-30.466833,26.000414
77,-30.879097,25.911226
78,-30.69522,25.576733
79,-31.031254,25.423544
80,-30.871775,25.091253
81,-31.092398,24.863781
82,-31.09546,24.567856
83,-31.18018,24.287851
84,-31.201687,23.982353
85,-31.280195,23.68445
86,-31.327274,23.380556
87,-31.362762,23.076574
88,-31.394964,22.760977
89,-31.42253,22.445591
90,-31.441391,22.130838
91,-31.444565,21.823334
92,-31.46704,21.509945
93,-31.448126,21.199781
94,-31.450375,20.896347
95,-31.429731,20.607872
96,-31.48351,20.310423
97,-31.25821,20.054419
98,-31.515717,19.766016
99,-31.207539,19.553877
100,-31.543224,19.268099
101,-30.992117,19.146303
102,-31.428556,18.851694
103,-31.505224,18.632084
104,-30.803368,18.65876
105,-31.491877,18.264143
106,-31.056454,18.237415
107,-30.654388,18.270824
108,-31.35209,17.809261
109,-31.284529,17.66439
110,-30.715298,17.798544
111,-30.396107,17.805744
112,-31.0824,17.290047
113,-30.370771,17.510048
114,-30.849594,17.039568
115,-30.662529,16.940441
116,-30.1102,17.113556
117,-30.3871,16.637344
118,-29.887566,16.776234
119,-30.035671,16.359049
120,-29.694511,16.313822
121,-29.554935,16.069584
122,-29.322208,15.88441
123,-29.095623,15.679789
124,-28.848145,15.472574
125,-28.594376,15.254028
126,-28.327826,15.043535
127,-28.050373,14.831618
128,-27.770803,14.6276
129,-27.477549,14.425571
130,-27.186062,14.229076
131,-26.867743,14.024549
132,-1.7237382,-0.3895888
133,-1.3158026,-0.9448206
134,-0.46803072,-6.351708
135,-2.4566238,-1.6560506
136,-4.059533,-0.5015848
137,-5.236037,0.23262593
138,-5.852863,0.6446681
139,-6.3243213,0.9774463
140,-6.7240534,1.275446
141,-7.066576,1.555849
142,-7.367288,1.8164343
143,-7.6096272,2.062935
144,-7.8372536,2.2839854
145,-8.034116,2.489252
146,-8.200718,2.6848931
147,-8.44723,2.8012776
148,-8.303188,3.1507516
149,-8.76202,3.0910861
150,-8.405969,3.493088
151,-8.955756,3.4118845
152,-8.987087,3.6048884
153,-9.130678,3.7606618
154,-8.603892,4.072215
155,-8.691142,4.226045
156,-9.273762,4.259937
157,-9.285415,4.4656467
158,-8.835371,4.74464
159,-9.324524,4.896528
160,-8.947957,5.148677
161,-9.313202,5.3687863
162,-9.026704,5.6276474
163,-9.223624,5.896954
164,-9.055979,6.161998
165,-9.063442,6.437449
166,-9.011343,6.728587
167,-8.929579,7.013463
168,-8.852099,7.290718
169,-8.754882,7.583851
170,-8.651821,7.8539352
171,-8.532038,8.115874
172,-8.392328,8.369371
173,-8.261058,8.625197
174,-8.160174,8.882819
175,-7.959061,9.068928
176,-7.734951,9.20892
177,-7.6200824,9.454081
178,-7.5174413,9.69536
179,-7.3297696,9.861933
180,-6.95432,9.731028
181,-6.9707747,10.157123
182,-6.781007,10.276731
183,-6.413454,10.062511
184,-6.3869505,10.509279
185,-6.1496835,10.552524
186,-5.8354897,10.293689
187,-5.743053,10.750631
188,-5.4446764,10.505765
189,-5.2756376,10.825379
190,-5.0004673,10.594998
191,-4.770587,10.8233185
192,-4.5081763,10.604723
193,-4.247461,10.774896
194,-3.979807,10.671218
195,-3.7102122,10.653796
196,-3.425584,10.604695
197,-3.1446884,10.533486
198,-2.8634324,10.464335
199,-2.582598,10.365006
200,-2.3033066,10.253342
201,-2.0280423,10.145294
202,-1.7506578,10.056165
203,-1.5379165,9.82407
204,-1.2352145,9.780107
205,-1.0560765,9.549503
206,-0.7304273,9.539441
207,-0.72989297,9.141727
208,-0.32494658,9.248731
209,-0.4507686,8.800176
