id,x,y
0,2.279956,42.288025
1,2.1273308,41.672585
2,1.8628801,40.846928
3,1.8593494,39.98436
4,1.6271933,39.074074
5,1.7299895,38.134907
6,1.5340232,37.204834
7,2.16875,36.420998
8,18.096432,-1.0758156
9,17.838219,-1.9642551
10,17.06208,-2.5483084
11,16.184546,-3.1502836
12,15.261125,-3.4609418
13,14.350238,-3.2106798
14,13.66944,-2.4948623
15,8.915246,7.7853365
16,8.17407,8.287835
17,7.5116796,8.931122
18,6.8575654,9.865705
19,6.266371,10.95321
20,5.9736547,11.819857
21,11.955798,-29.081242
22,11.076064,-28.771894
23,10.318711,-28.416777
24,10.042778,-27.661753
25,9.682841,-26.841038
26,-2.408454,-1.7168311
27,-2.8373907,-0.744762
28,-3.2783372,0.08914315
29,-4.040337,0.5007478
30,-5.0982885,0.6677861
31,-6.13981,0.67123777
32,-6.952478,0.34321228
33,-7.262609,-0.4850992
34,-7.156415,-1.5037736
35,-6.7389393,-2.4865568
36,-6.0809875,-3.343965
37,-5.3677773,-4.063368
38,-4.712376,-4.655192
39,-3.859576,-4.8976936
40,-2.9643033,-4.592553
41,3.5034988,16.384666
42,3.3642073,17.263872
43,3.0189738,18.039146
44,2.6100743,18.889965
45,2.2071006,19.95733
46,1.7130612,20.88338
47,1.6874212,21.71937
48,1.0580258,22.275314
49,1.1961075,23.227592
50,0.94117266,24.15398
51,0.98806447,25.047684
52,17.016584,47.094093
53,17.9422,47.553093
54,18.893324,47.860348
55,19.726305,48.151817
56,20.526468,47.924404
57,21.322647,47.606808
58,8.083511,-15.652702
59,8.144231,-16.611605
60,8.302935,-17.714771
61,8.446938,-18.810038
62,8.557569,-19.857239
63,7.954622,-20.577944
64,8.231771,-21.44081
65,7.358996,-21.787855
66,7.1154833,-22.752735
67,6.654316,-23.706495
68,6.34597,-24.584698
69,6.0335774,-25.50452
70,5.635107,-26.552622
71,5.0565047,-27.29923
72,-11.980521,-16.84131
73,-12.588445,-16.15224
74,-13.224356,-15.330966
75,-13.859788,-14.295546
76,-14.659568,-13.026081
77,-15.466274,-11.903096
78,-16.065357,-11.004202
79,-16.495275,-10.180876
80,-16.754652,-9.324223
81,-16.904926,-8.411531
82,-16.980816,-7.4242516
83,-16.983566,-6.448017
84,-7.576268,17.388603
85,-7.0120063,18.156548
86,-6.5751567,18.948029
87,-6.3462715,19.809875
88,-6.091892,20.799662
89,-5.8491573,21.922825
90,-5.723587,23.066294
91,-5.738295,24.202354
92,-5.864075,25.300676
93,-6.0770926,26.340103
94,-6.33567,27.308292
95,-6.578421,28.21752
96,-6.9307837,29.175896
97,-7.3705482,30.256147
98,-7.790635,31.159607
99,-8.206745,31.869583
100,-8.81821,32.655212
101,-9.742032,33.81582
102,-10.699222,34.802673
103,-11.563934,35.406788
104,-12.44952,35.64953
105,-13.374,35.537098
106,-14.341234,35.237328
107,-19.144869,-38.071087
108,-18.702421,-38.82254
109,-18.235142,-39.714397
110,-17.649063,-40.64709
111,-17.176281,-41.47059
112,-16.908304,-42.336647
113,-15.921744,-42.115036
114,-15.745291,-43.04435
115,-19.511917,6.024478
