id,x,y
0,-6.504244,4.0910187
1,-7.4214087,4.228376
2,-15.236263,-27.000332
3,-15.254005,-27.492073
4,-15.239723,-27.946426
5,-15.206949,-28.371199
6,-15.155793,-28.766186
7,-15.087242,-29.133844
8,-15.011762,-29.478806
9,-14.911552,-29.774164
10,-14.830299,-30.047878
11,-14.866279,-30.349249
12,-14.461881,-30.426018
13,-14.76466,-30.80871
14,-14.206402,-30.74052
15,-14.596307,-31.187971
16,-14.525032,-31.387331
17,-13.894316,-31.142084
18,-14.268669,-31.668245
19,-13.655352,-31.38713
20,-14.0179615,-31.964996
21,-13.809569,-32.056423
22,-13.284522,-31.806904
23,-13.504987,-32.385223
24,-13.007579,-32.16271
25,-13.108978,-32.68359
26,-12.641612,-32.52158
27,-12.614267,-32.94736
28,-12.208496,-32.879993
29,-12.076931,-33.236595
30,-11.718128,-33.246204
31,-11.520981,-33.521214
32,-11.179167,-33.56623
33,-10.944977,-33.827106
34,-10.615844,-33.87995
35,-10.355849,-34.096424
36,-10.025809,-34.089478
37,-9.813689,-34.41434
38,-9.4561,-34.304157
39,-9.22751,-34.603714
40,-8.890905,-34.448887
41,-8.688977,-34.84745
42,-8.363213,-34.541622
43,-8.162326,-34.954384
44,-7.8406596,-34.560757
45,-7.6367617,-34.992348
46,-7.36886,-34.945107
47,-7.1317835,-34.56949
48,-6.8682227,-35.047653
49,-6.648689,-34.523544
50,-6.392931,-34.941254
51,-6.1385727,-34.870647
52,-5.9532766,-34.455864
53,-5.62118,-34.86978
54,-5.4466186,-34.444374
55,-5.1065936,-34.757572
56,-4.973882,-34.28791
57,-4.6109257,-34.570137
58,-4.4172764,-34.264275
59,-4.0678973,-34.394253
60,-3.8767443,-34.09628
61,-3.559893,-34.123642
62,-3.2874215,-33.99169
63,-3.021073,-33.889336
64,-2.7563622,-33.742516
65,-2.485031,-33.619328
66,-2.2079844,-33.490513
67,-1.9637499,-33.30881
68,-1.6815699,-33.18895
69,-1.4421078,-32.995388
70,-1.1674747,-32.851505
71,-0.96721464,-32.610764
72,-0.6648316,-32.52385
73,-0.54498446,-32.20835
74,-0.19566248,-32.158665
75,-0.117645726,-31.815231
76,0.2535988,-31.787653
77,0.22487774,-31.398798
78,0.6477969,-31.415503
79,0.5551365,-30.992268
80,0.9989865,-31.022053
81,0.86202997,-30.587585
82,1.3317051,-30.62741
83,1.1588176,-30.208185
84,1.6188936,-30.229305
85,1.3492783,-29.775595
86,1.8626455,-29.797346
87,1.6332252,-29.380062
88,2.1039722,-29.352179
89,1.8553469,-28.955101
90,2.3300478,-28.898436
91,2.0895786,-28.495977
92,2.510189,-28.398249
93,2.2918344,-28.013517
94,2.6800222,-27.878439
95,2.4973807,-27.504196
96,2.8343537,-27.310246
97,2.734575,-26.955599
98,2.9481587,-26.700447
99,2.9017427,-26.360588
100,3.0325541,-26.063656
101,3.0929902,-25.74912
102,3.072778,-25.419546
103,3.2427032,-25.12719
104,3.1494324,-24.790615
105,3.3980944,-24.508276
106,3.210201,-24.184813
107,3.4977236,-23.912779
108,3.1814888,-23.606537
109,3.6173546,-23.364336
110,3.1686897,-23.095959
111,3.67528,-22.872692
112,3.158037,-22.64212
113,3.7418153,-22.424839
114,3.140449,-22.233715
115,3.7655838,-22.021725
116,3.032268,-21.875319
117,3.523492,-21.669504
118,3.685505,-21.4428
119,2.9890025,-21.351858
120,3.5786216,-21.073729
121,3.0413775,-20.959644
122,3.441424,-20.667475
123,3.0556474,-20.503239
124,3.1835756,-20.20873
125,3.0600605,-19.937496
126,2.9826918,-19.632702
127,2.8803368,-19.305342
128,2.7748215,-18.934982
129,2.6447606,-18.548132
130,2.504833,-18.133303
131,2.3463485,-17.691551
132,2.1675959,-17.20895
133,-7.0749335,3.7841918
134,-6.536429,5.3874817
135,-5.604271,6.3169584
136,-5.293744,7.1386333
137,-5.106854,7.6091146
138,4.829266,41.695408
139,4.6954484,42.0114
140,4.543848,42.322624
141,4.373174,42.635616
142,4.2114863,42.94944
143,4.021968,43.231655
144,3.8624847,43.485615
145,3.5751784,43.611614
146,3.6555226,44.01946
147,3.557543,44.252644
148,3.0240312,43.940777
149,3.3690012,44.62322
150,2.787136,44.109608
151,2.973284,44.64925
152,2.9837968,44.99571
153,2.7939546,45.021248
154,2.3256233,44.298378
155,2.2972128,44.582405
156,2.339738,45.261734
157,2.1067026,45.161606
158,1.7988753,44.53159
159,1.6925955,45.175804
160,1.3992761,44.6274
161,1.2066939,45.15229
162,0.90801084,44.715965
163,0.6239507,45.05633
164,0.3174038,44.83956
165,-0.021843845,44.86811
166,-0.37468454,44.808174
167,-0.72634757,44.778034
168,-1.0859652,44.720123
169,-1.4463469,44.65984
170,-1.8032521,44.59609
171,-2.1561022,44.516754
172,-2.49991,44.428814
173,-2.825153,44.330067
174,-3.1366668,44.26552
175,-3.3996017,44.074738
176,-3.7599483,44.215515
177,-3.85907,43.780777
178,-4.2518783,44.082245
179,-4.251283,43.499367
180,-4.6380672,43.795296
181,-4.8789053,43.818153
182,-4.760201,43.20569
183,-5.2734237,43.659267
184,-5.0597315,42.987114
185,-5.4656653,43.265625
186,-5.7621355,43.325287
187,-5.5375824,42.698586
188,-6.0486298,42.994797
189,-5.84149,42.447712
190,-6.322414,42.646366
191,-6.4601207,42.41433
192,-6.4110394,41.989708
193,-6.804992,41.976154
194,-6.918568,41.657997
195,-7.145088,41.44781
196,-7.345327,41.169327
197,-7.555202,40.893997
198,-7.7624025,40.593105
199,-7.966789,40.296074
200,-8.175396,40.004803
201,-8.372901,39.680683
202,-8.53667,39.37216
203,-8.747309,39.09277
204,-8.849329,38.757652
205,-9.173315,38.57761
206,-9.001943,38.15864
207,-9.5159445,38.11169
208,-9.138802,37.669827
209,-9.731313,37.67785
210,-9.903988,37.50493
211,-9.327983,37.117355
212,-9.294703,36.94095
213,-10.180891,37.06054
214,-10.256976,36.90626
215,-9.820185,36.64624
216,-9.437278,36.401073
217,-10.3148575,36.450047
218,-9.530583,36.14363
219,-10.255042,36.107384
220,-10.234875,35.90986
221,-9.637104,35.664864
222,-10.190009,35.477016
223,-9.870371,35.21305
224,-10.01522,34.93333
225,-9.974635,34.622692
226,-9.974423,34.273254
227,-9.944231,33.89598
228,-9.92104,33.497322
229,-9.886823,33.09896
230,-9.846309,32.69523
231,-9.796651,32.278103
232,-6.4309697,7.162185
233,-6.183008,6.3457
234,-5.541545,5.1305914
235,-6.9284754,6.167775
236,-7.0553317,10.543962
237,-7.2111745,11.395533
238,-7.3524604,12.071945
239,-7.480653,12.635945
240,-7.606913,13.13837
241,-7.7259874,13.577504
242,-7.830331,13.961981
243,-7.938309,14.300795
244,-8.003547,14.602777
245,-8.273954,14.761464
246,-8.023108,15.138483
247,-8.049039,15.383317
248,-8.641607,15.207121
249,-8.740205,15.329404
250,-8.270457,15.845325
251,-8.394235,15.977743
252,-9.013395,15.674515
253,-8.63378,16.244318
254,-9.26902,15.862711
255,-8.985124,16.44211
256,-9.229024,16.50767
257,-9.704331,16.271198
258,-9.631094,16.816551
259,-10.025517,16.757149
260,-10.237975,17.01895
261,-10.566154,17.145273
262,-10.8873825,17.309626
263,-11.23098,17.460936
264,-11.580623,17.612522
265,-11.939746,17.750896
266,-12.302902,17.878044
267,-12.655788,17.982946
268,-13.015145,18.081993
269,-13.35798,18.157738
270,-13.683945,18.226385
271,-13.991503,18.313253
272,-14.290527,18.209835
273,-14.565441,18.453962
274,-14.822919,18.163725
275,-15.085435,18.498226
276,-15.276635,18.042303
277,-15.553481,18.43436
278,-15.793409,18.408451
279,-15.888823,17.919281
280,-16.24715,18.332634
281,-16.317781,17.870682
282,-16.673193,18.147278
283,-16.72671,17.688377
284,-17.100191,17.873669
285,-17.216124,17.548601
286,-17.51891,17.488148
287,-17.718252,17.241663
288,-17.988144,17.079401
289,-18.225246,16.8621
290,-18.472298,16.625044
291,-18.700047,16.384117
292,-18.933836,16.115768
293,-19.15763,15.828707
294,-19.355263,15.542216
295,-19.5583,15.248364
296,-19.73658,14.968272
297,-19.872435,14.661931
298,-19.981012,14.371098
299,-20.127728,14.10505
300,-20.307884,13.855372
301,-20.082924,13.5253935
302,-20.475698,13.355572
303,-20.538782,13.113791
304,-20.175665,12.854911
305,-20.673643,12.658198
306,-20.19689,12.434776
307,-20.654713,12.21668
308,-20.18421,12.023776
309,-20.605057,11.759041
310,-20.194044,11.574747
311,-20.471697,11.266498
312,-20.09679,11.093465
313,-20.189816,10.784404
314,-20.03129,10.517283
315,-19.905125,10.235903
