id,x,y
0,-5.3695264,9.649029
1,-5.4386463,9.672086
2,-5.396457,9.7327385
3,-5.3885345,9.694668
4,-5.4576106,9.780102
5,-5.3984756,9.671825
6,-5.5367665,9.774621
7,-5.428049,9.6856985
8,-5.2385774,9.554295
9,-5.605198,9.670363
10,-5.4328246,9.664634
11,-5.575028,9.71909
12,-5.1718736,9.527829
13,-5.119357,9.520942
14,-5.694166,9.703662
15,-5.410455,9.588809
16,-5.535753,10.036294
17,-6.1032357,9.778735
18,-5.1503353,10.038124
19,-5.7465053,10.659307
20,-4.7294707,9.684952
21,-5.321928,10.241474
22,-6.0166574,10.050656
23,-6.546235,9.484996
24,-5.4723096,9.002035
25,-4.594666,10.225767
26,-6.8416085,9.24463
27,-4.2656775,9.417752
28,-4.3896837,8.923722
29,-4.9624176,8.085587
30,-4.701524,10.813642
31,-3.6780572,10.345332
32,6.282662,3.9317896
33,-4.2585926,8.844698
34,-3.129915,4.130562
35,-6.6972923,7.973859
36,-1.8260124,9.0713215
37,-6.7025657,8.150389
38,-5.663112,11.510934
39,3.9657779,14.601701
40,-6.442066,10.892171
41,-7.193611,8.795464
42,-3.7247138,-7.2137675
43,-3.723162,-7.247874
44,-3.6984494,-7.216715
45,-3.6339786,-7.218877
46,-3.6888316,-7.239734
47,-3.764268,-7.2104883
48,-3.6872575,-7.2982955
49,-3.8343818,-7.2769017
50,-3.6821542,-7.226353
51,-3.578315,-7.168364
52,-3.5371304,-7.0749764
53,-3.681195,-7.2575374
54,-3.8345873,-7.156318
55,-3.7537544,-6.867586
56,-3.6214197,-7.258601
57,-3.4650228,-7.579659
58,-3.2886417,-7.113684
59,-3.575946,-7.6296287
60,-3.22187,-7.4676447
61,-4.1465964,-6.993649
62,-3.0834117,-7.009631
63,-4.4419446,-6.8095045
64,-2.8434072,-7.0246887
65,-4.2506394,-7.798098
66,-4.8125534,-7.8097944
67,-4.230631,-8.571023
68,-3.3697922,-8.507404
69,-2.772073,-6.3031235
70,-2.829141,-8.118844
71,-4.9720473,-6.6984634
72,6.3463287,7.005198
73,-4.375276,-6.1223106
74,6.9313464,-12.241784
75,-2.0829,-6.7162814
76,-3.2947416,-5.693726
77,-5.9512057,-7.9815497
78,4.1767764,-9.157428
79,-4.006933,-8.718641
80,-4.7039537,-9.244589
81,-12.942924,-10.917943
82,-2.1820927,-4.8775043
83,-0.34813252,-7.8313246
84,7.74834,2.6875834
85,7.757482,2.711555
86,7.8241878,2.6726675
87,7.749922,2.7058961
88,7.7003007,2.7375357
89,7.833102,2.7056205
90,7.6877317,2.650345
91,7.864097,2.631124
92,7.6756425,2.7114823
93,7.758338,2.754866
94,7.7435627,2.649439
95,7.78626,2.7517257
96,7.7174983,3.0251386
97,7.6277695,2.8592267
98,8.050126,2.7692473
99,7.863789,2.6238866
100,7.719709,2.2646444
101,8.226292,2.8683586
102,7.1886964,2.4922776
103,8.2907715,2.4366755
104,8.323551,2.0961661
105,6.534083,2.657211
106,8.611928,2.9124691
107,7.3265724,2.151487
108,8.023288,3.648176
109,7.1974034,3.8641908
110,7.5007267,1.4048684
111,9.65427,3.060453
112,8.195297,1.4702166
113,4.4509487,3.8705008
114,7.1040316,1.3477756
115,9.489232,3.0418358
116,5.766212,-9.624561
117,6.091067,2.6602557
118,9.181272,1.7641002
119,-15.18852,-8.232373
120,8.881407,4.0021005
121,10.366827,-11.758038
122,8.727787,0.37987682
123,4.3703513,3.768438
124,4.151202,10.198425
125,6.2743826,12.267977
126,6.2402806,12.264703
127,6.2156754,12.18777
128,6.328462,12.259611
129,6.337525,12.142181
130,6.184913,12.360476
131,6.253796,12.411505
132,6.2413826,12.199278
133,6.2696037,12.254789
134,6.072325,12.361766
135,6.330277,12.37185
136,6.4136295,12.388226
137,6.155612,11.991827
138,6.489453,12.185231
139,6.4946766,12.100546
140,6.422818,12.034397
141,6.0725536,12.164391
142,6.3032393,12.5024395
143,6.4308105,11.925237
144,6.3695483,12.487068
145,6.036978,12.017699
146,6.9558105,12.331988
147,6.867414,12.123162
148,6.4555187,12.784854
149,5.9813867,11.619794
150,5.5723014,12.227316
151,6.9447227,11.579345
152,7.0062304,12.75205
153,6.4726415,11.395196
154,7.0488734,12.379635
155,5.7276564,13.34374
156,5.6256623,12.995841
157,5.0380034,12.289774
158,6.3966846,13.622721
159,5.6602206,10.964159
160,5.2169075,11.111483
161,7.6504726,11.357517
162,7.0471573,13.527937
163,4.548667,11.9337435
164,7.5084963,13.250534
165,4.813759,12.023237
166,7.850467,12.867611
167,6.22538,10.748621
168,8.184484,11.989627
169,4.6010036,13.4605
170,6.727368,10.194228
171,7.3939757,11.009444
172,5.835897,14.046928
173,6.572842,14.423117
174,5.9189525,9.906847
175,8.4157715,11.802688
176,7.1317034,10.001196
177,4.6578074,12.852203
178,8.216552,9.912523
179,8.013751,13.451369
180,4.1619864,12.041792
181,4.5108976,10.526839
182,4.557774,14.120998
183,6.9666996,14.960193
184,6.5998898,9.616264
185,6.0448737,14.483748
186,-10.338319,-6.856227
187,0.044827476,0.75617
188,3.9696767,12.9057865
189,7.094094,15.2933035
190,-6.858264,8.067626
191,-3.3190522,9.390487
192,-1.3336453,8.837776
193,4.5950947,14.277787
194,8.258367,13.973576
195,-1.459284,1.8516724
196,-1.5286064,1.7748393
197,-1.4604518,1.8151672
198,-1.5745918,1.7805066
199,-1.4976122,1.833547
200,-1.5607759,1.8396128
201,-1.4304711,1.9043027
202,-1.6481961,1.6973231
203,-1.4889044,1.8275754
204,-1.4173242,1.808982
205,-1.3972253,1.9199145
206,-1.7207209,1.6815363
207,-1.4250056,1.7880719
208,-1.4027486,1.6165953
209,-1.4715489,2.052029
210,-1.1057355,1.7986155
211,-1.6279728,1.6261355
212,-1.8266995,1.6140271
213,-1.3863596,1.3010018
214,-1.8861558,1.6135633
215,-1.2007504,2.2223058
216,-2.0787668,2.1951487
217,-1.6662136,2.3429644
218,-0.82007074,2.1232333
219,-0.9829355,2.395084
220,-2.1397662,2.5216482
221,-2.376983,1.6593026
222,-0.7084379,1.0101404
223,-1.5659198,2.8504512
224,-0.46882507,1.4344873
225,-0.087960005,1.7911897
226,-2.659475,2.335672
227,-2.253231,0.6736997
228,-1.4381729,0.5823841
229,-1.5584761,0.31009325
230,-3.3688023,1.2152518
231,-2.6765978,3.4703097
232,-2.8854804,-0.49317998
233,0.16724831,2.523022
234,-3.1600547,1.7805125
235,7.2049026,4.9940586
236,-0.4866172,0.07138519
237,-0.86310184,3.3013408
238,-4.0234804,0.88861215
239,-12.021139,-5.90378
240,-7.2503495,9.385576
241,-3.1789987,-0.8948312
242,-3.4756134,1.5622419
243,7.942398,-10.608384
244,7.876316,-10.637099
245,7.834392,-10.6442795
246,7.822626,-10.740987
247,7.877397,-10.720067
248,7.894195,-10.6941395
249,7.956655,-10.529006
250,7.932479,-10.701753
251,7.8736687,-10.5918255
252,7.7333236,-10.851873
253,7.80793,-10.675661
254,7.7950444,-10.835807
255,8.036499,-10.885922
256,7.8247995,-10.4187765
257,8.056105,-10.377301
258,7.8695626,-11.00251
259,7.7346215,-10.635415
260,7.9862986,-10.868846
261,7.666068,-11.159443
262,8.21214,-10.699632
263,8.22624,-10.307008
264,8.285075,-10.899092
265,7.357974,-10.537068
266,8.500987,-10.768574
267,8.284995,-11.323462
268,8.223796,-10.002898
269,6.981513,-10.73136
270,8.84721,-10.985479
271,8.612447,-9.8657875
272,7.580447,-9.814016
273,7.0835915,-10.09771
274,7.976539,-11.588697
275,7.059356,-11.322163
276,9.37976,-10.8026
277,6.7766457,-11.8656645
278,9.433629,-10.097933
279,8.1531725,-8.929007
280,8.930045,-9.07429
281,8.781294,-12.118218
282,6.380766,-10.606255
283,7.4936113,-12.379319
284,9.851545,-11.732874
285,6.3508577,-11.802729
286,6.694336,-9.268071
287,8.201084,-12.36068
288,6.4660563,-8.655018
289,9.25866,-8.776595
290,9.896157,-10.263217
291,5.1550636,-9.5224085
292,6.094265,-11.907367
293,8.76873,-8.9155655
294,8.112385,-8.611671
295,9.85557,-11.932038
296,4.9621835,-9.39181
297,-9.715852,-9.908674
298,-12.936006,-8.333628
299,-12.934817,-8.280682
300,-12.918491,-8.400546
301,-12.846886,-8.351212
302,-12.882008,-8.477716
303,-12.732384,-8.238512
304,-12.994747,-8.260846
305,-12.870335,-8.479248
306,-12.785967,-8.4016485
307,-12.952782,-8.310817
308,-12.879364,-8.50943
309,-13.072499,-8.291084
310,-12.721068,-8.0735655
311,-12.885994,-8.15821
312,-12.974054,-8.136297
313,-12.634153,-8.019573
314,-12.777928,-8.399556
315,-13.140714,-8.238111
316,-13.175687,-8.742398
317,-12.473353,-8.242212
318,-13.127679,-7.973695
319,-12.636809,-8.947887
320,-12.889614,-7.9239993
321,-13.437721,-8.488163
322,-13.579016,-7.9202023
323,-12.286321,-8.359605
324,-13.060581,-8.806437
325,-12.730802,-9.304351
326,-12.03961,-8.5088415
327,-13.77854,-7.7153068
328,-12.784442,-7.2733445
329,-14.008322,-8.672183
330,-11.716738,-7.5372796
331,-13.902623,-8.983786
332,-13.727975,-7.2220173
333,-12.065442,-9.290787
334,-13.191133,-6.451481
335,-13.761793,-9.721134
336,-11.110623,-8.510392
337,-11.101141,-8.173602
338,-13.5463,-6.8613653
339,-12.695303,-9.81485
340,-14.81372,-8.594866
341,-11.693096,-9.743358
342,-12.088741,-6.3306003
343,-14.575023,-7.533143
344,-12.948617,-10.868474
345,-14.170961,-9.613057
346,-10.896586,-9.634783
347,-11.790822,-7.0708175
348,-14.755681,-7.423599
349,-11.688082,-10.00139
350,-5.9374685,-6.32626
351,8.302016,5.383359
352,-15.0809765,-8.724691
353,-9.250999,-7.7282286
354,-13.542942,-6.091264
355,-12.9636545,-11.233616
356,7.176686,15.567139
357,-11.448754,-11.291744
358,-6.4643955,7.095116
359,0.6870106,2.507048
360,8.929418,-0.58795625
361,-1.7206817,-6.4804573
362,-5.8347793,11.458735
363,7.3201885,-7.0557094
364,0.3698794,3.3128421
365,7.2942696,0.915866
366,-0.35711315,-0.29394665
367,-2.1203847,-8.126575
368,-4.1451697,7.2899165
369,4.423379,0.3187995
370,3.8738425,4.1799293
371,-3.134006,10.406556
372,6.7455935,9.34627
373,2.3669038,11.685407
374,8.638902,9.640608
375,4.0311046,4.052616
376,-3.505541,-5.294776
377,-8.515691,8.726383
