id,x,y
0,13.900532,0.5078566
1,13.900251,0.5079682
2,13.898437,0.5104323
3,13.897264,0.88282317
4,13.875508,0.91662854
5,13.540122,1.0470595
6,13.199344,1.0391072
7,13.027213,0.8562706
8,12.910199,0.2704786
9,12.826283,0.16136384
10,12.814599,0.17898077
11,12.336444,0.711082
12,12.283382,0.68190783
13,12.294958,0.28324237
14,11.923837,0.34014344
15,11.572741,0.3969097
16,11.209942,0.34358987
17,10.76986,0.28849927
18,10.3398485,0.2639318
19,9.853882,0.22962038
20,9.544943,0.20763792
21,9.137959,0.27615628
22,8.8439865,-0.04862328
23,8.75167,-0.07017979
24,8.632098,-0.049378827
25,8.554614,0.32173663
26,8.482157,0.33659023
27,8.084864,0.094101906
28,7.6777396,0.09432685
29,7.156789,0.11327741
30,6.975343,0.109333456
31,6.8370767,0.106480174
32,6.50082,0.13302246
33,6.146389,0.16875584
34,5.6484556,0.19546656
35,5.161801,0.22137064
36,4.6166244,0.2355871
37,3.9446337,0.260067
38,3.0223978,0.26326534
39,2.5885324,0.25689816
40,1.4344833,0.24325405
41,-1.7331295,-0.17420563
42,-5.0967846,14.465538
43,-5.4980826,14.315162
44,-5.091383,14.466663
45,-5.1051655,14.462309
46,-5.550939,14.238464
47,-5.565548,14.223812
48,-5.4783797,13.88921
49,-4.765376,13.92619
50,-4.726289,13.896259
51,-4.9032326,13.545185
52,-5.175578,13.210115
53,-4.995076,12.952856
54,-4.652771,12.788132
55,-4.6505194,12.486407
56,-4.508062,12.210617
57,-4.474753,11.966895
58,-4.3695145,11.660968
59,-4.362871,11.36224
60,-4.3393326,11.304513
61,-4.220877,10.981373
62,-4.112647,10.6323
63,-4.000432,10.256432
64,-3.8810813,9.808084
65,-3.858125,9.726355
66,-3.7705655,9.356094
67,-3.6211724,8.887678
68,-3.55039,8.783369
69,-3.5236847,8.440316
70,-3.4986856,8.350718
71,-3.4863176,8.252548
72,-3.4111335,7.9352527
73,-3.3322015,7.493963
74,-3.2654283,7.0776753
75,-3.1795669,6.520288
76,-3.1076252,6.0410213
77,-3.0043325,5.3831263
78,-2.914729,4.7877593
79,-2.8867238,4.595222
80,-2.7791908,3.4591377
81,-2.6830409,2.8697035
82,-2.4758503,1.9407514
83,-1.7347902,-0.17271863
84,-13.922234,-7.465076
85,-13.922437,-7.4656267
