id,x,y
0,-12.008677,-35.442276
1,-12.611529,-36.2694
2,-13.412097,-35.75051
3,-12.405973,-37.294426
4,-13.157475,-36.83409
5,-12.125178,-36.79121
6,-11.3294935,-37.243687
7,-12.537758,-35.41971
8,-12.995239,-37.321465
9,-13.230663,-36.171577
10,-13.726091,-36.632587
11,-11.954422,-36.33938
12,-11.551928,-35.877617
13,-10.948713,-34.308025
14,-15.034217,-34.51803
15,-12.128817,-38.3495
16,-14.032436,-37.668564
17,-10.231649,-38.36731
18,8.822665,-34.850666
19,-12.535834,-33.665836
20,-13.551137,-39.12893
21,-14.445345,-35.91335
22,-15.414359,-37.119377
23,-10.63952,-36.610367
24,-10.155763,-35.561314
25,-9.513307,-33.14004
26,-16.186035,-33.520836
27,-11.83976,-39.142136
28,-20.852661,-44.051388
29,-9.29139,-39.30556
30,9.496838,-34.90861
31,-12.721528,-31.245962
32,-13.828022,-40.778084
33,-25.14383,-32.88063
34,-16.820988,-37.52205
35,-4.278499,-37.038483
36,-9.303787,-35.399063
37,-8.837399,-32.581963
38,-16.866348,-32.943493
39,-7.4304624,-47.815575
40,-21.301044,-44.444828
41,-8.724064,-39.88832
42,10.143272,-35.143555
43,-12.746539,-30.338705
44,-13.972292,-41.64818
45,-25.698893,-32.696613
46,-17.660513,-37.740265
47,-3.5961041,-37.120632
48,-1.174274,-30.586576
49,-8.337422,-32.148952
50,-17.371187,-32.502876
51,-7.1495786,-48.219276
52,-21.701597,-44.7891
53,-8.27758,-40.355335
54,10.558986,-35.386158
55,-12.75615,-29.661772
56,-14.077461,-42.31014
57,-26.181973,-32.515495
58,-18.302189,-37.89178
59,-3.031418,-37.20846
60,-0.7527942,-30.324308
61,-7.9122458,-31.74614
62,-17.814976,-32.11061
63,-6.8961945,-48.614685
64,-22.088346,-45.122272
65,-7.8831387,-40.76795
66,10.869597,-35.613964
67,-12.749322,-29.061296
68,-14.162081,-42.894638
69,-26.66147,-32.330322
70,-18.86987,-38.01682
71,-2.4919925,-37.30671
72,-0.35537314,-30.071156
73,-7.531018,-31.398361
74,-18.215672,-31.79298
75,-6.586987,-48.956417
76,-22.443523,-45.43589
77,-7.5415406,-41.1408
78,11.198695,-35.645943
79,-12.745923,-28.538055
80,-14.2595415,-43.395138
81,-27.10469,-32.18726
82,-19.368958,-38.108047
83,-1.9937427,-37.34411
84,0.050237834,-29.894316
85,-7.2985806,-31.020002
86,-18.459816,-31.413185
87,-6.5209227,-49.397053
88,-22.829391,-45.62095
89,-7.1643763,-41.374916
90,11.446039,-35.39108
91,-12.656282,-28.095585
92,-14.198696,-43.842987
93,-27.437374,-31.899303
94,-19.781742,-38.284046
95,-1.6196594,-37.6273
96,0.20597295,-29.472685
97,-6.8579664,-30.956509
98,-18.935366,-31.418116
99,-5.986015,-49.44256
100,-22.839962,-46.110577
101,-7.151975,-41.846912
102,11.414838,-35.05339
103,-12.952293,-27.735447
104,-14.558315,-44.135075
105,-27.892426,-32.119156
106,-20.171213,-38.00944
107,-1.204657,-37.31989
108,0.69126695,-29.737356
109,-7.0903177,-30.39418
110,-18.720764,-30.81343
111,-6.25725,-49.934166
112,-23.40903,-45.840034
113,-6.585357,-41.646076
114,11.143393,-34.834084
115,-12.41666,-27.497818
116,-14.045094,-44.475044
117,-27.865376,-31.445263
118,-20.344597,-38.580204
119,-1.0752498,-37.9117
120,0.53894,-29.06766
121,-6.4515886,-30.648304
122,-19.358929,-31.15092
123,-6.3081207,-50.24164
124,-23.142101,-46.509964
125,-6.8878827,-42.276703
126,10.78162,-34.601517
127,-13.050907,-27.232832
128,-14.706935,-44.619244
129,-28.36621,-31.97279
130,-20.675213,-37.953857
131,-0.69474006,-37.330486
132,1.0998161,-29.558838
133,-6.27595,-30.469418
134,-19.01403,-30.499014
135,-5.565934,-49.90988
136,-23.762442,-46.05204
137,-6.2401114,-41.89809
138,10.336348,-34.193874
139,-12.317592,-27.07343
140,-14.783068,-44.867336
141,-28.238716,-31.233232
142,-20.759392,-38.703453
143,-0.6810306,-38.094044
144,1.2341113,-29.350676
145,-6.787584,-29.954496
146,-19.630768,-30.887695
147,-5.499851,-50.128292
148,-23.443115,-46.718025
149,-6.611655,-42.52561
150,9.945629,-33.592743
151,-13.022018,-26.85543
152,-14.059353,-45.011448
153,-28.696047,-31.8228
154,-21.049902,-38.012257
155,-0.42219463,-38.047226
156,0.9166914,-28.858448
157,-6.5522614,-29.902338
158,-19.57137,-30.585135
159,-5.928441,-50.548664
160,-23.918978,-46.35036
161,-6.103825,-42.199745
162,9.576013,-3.3729274
163,-12.426312,-26.764574
164,-14.22613,-45.17509
165,-28.567442,-31.22726
166,-21.071865,-38.610386
167,-0.27848867,-37.460316
168,1.1516873,-28.998789
169,-6.231499,-30.07474
170,-19.329317,-30.380526
171,-5.6536937,-50.459713
172,-23.748167,-46.644897
173,-6.298315,-42.481724
174,9.582447,-3.3776896
175,-12.745958,-26.682789
176,-14.605229,-45.21344
177,-28.748022,-31.49593
178,-21.179493,-38.314884
179,-0.22487521,-37.763206
180,8.395747,-3.3103068
181,10.673918,-4.7491994
182,8.892756,-5.973897
183,16.606762,-4.4733906
184,14.446456,1.8114398
185,8.180311,-3.0347586
186,6.8079295,-5.5963454
187,18.143452,-0.38777807
188,8.240628,0.1016003
189,11.748738,3.953138
190,9.508563,-1.491871
191,6.4950123,-0.026964592
192,11.86169,-2.6174989
193,15.805025,-8.203401
194,5.8940086,-10.644911
195,16.919611,-13.259421
196,8.9715,-12.280984
197,12.797807,-15.005767
198,12.059053,-9.300134
199,11.531215,-5.2682896
200,8.9949045,-7.0323086
