id,x,y
1,-4.5856667,-1.5174179
0,-4.554234,-1.5960574
2,-4.5856667,-1.5174179
3,-4.585608,-1.5174271
4,-4.585608,-1.5174271
5,-4.5856667,-1.5174179
6,-4.5856075,-1.5174271
7,-4.585608,-1.5174271
8,-4.585523,-1.5161393
9,-4.5856667,-1.5174179
10,-4.585523,-1.5161393
11,-4.585608,-1.5174271
12,-4.5856667,-1.5174179
13,-7.398026,-7.4875693
14,-3.0498738,-2.482425
15,4.0142307,-0.67661285
16,-2.6550088,-1.5068424
17,-1.8399186,-3.9868062
18,-8.116818,-2.3143466
19,-1.2867985,-6.327439
20,-10.726619,4.7522297
21,-4.5566807,-2.7246153
22,-10.668922,1.6818669
23,-10.719307,-6.3345757
24,-4.7436814,-1.572218
25,-7.668645,-6.487717
26,-0.65357345,1.9615993
27,8.900801,0.97547334
28,-1.2706813,-7.553167
29,-3.2406957,-8.7588415
30,-5.761369,-0.35517356
31,-3.8641033,0.42419073
32,-2.8091044,-0.83237314
33,-6.33862,5.99556
34,5.968392,-0.7537045
35,-4.4090567,7.919335
36,-0.8411685,3.0674753
37,-2.178941,-1.9904945
38,10.848227,4.1375775
39,-6.799735,1.0715727
40,-5.175052,-1.643927
41,-0.7202127,-8.127676
42,0.6076345,1.2166045
43,7.0530133,-0.06795051
44,-2.046142,-1.916677
45,-4.207034,-6.4122314
46,0.8713954,-2.02526
47,-7.8474593,-0.61255425
48,-7.504014,-5.7506666
49,7.6984067,5.9269767
50,-4.2113295,4.7803617
51,-3.9732137,-3.5479884
52,-6.301048,-2.4647405
53,-6.461524,-2.8970032
54,-5.4123573,-1.5992706
55,-6.926088,-4.631097
56,-0.7833745,-2.483649
57,-2.7791193,-0.8832736
58,6.90117,3.842922
59,1.1726326,2.5893183
60,-4.971018,-2.3842018
61,8.152957,1.0805358
62,2.4471798,-1.8287926
63,1.7656635,2.0535333
64,-3.0715158,0.95865685
65,8.35425,4.971929
66,-11.560875,-3.2933686
67,5.54241,-3.0207736
68,-5.34424,-0.1071311
69,-0.95032346,8.417277
70,-5.147683,-2.60598
71,-6.8801494,0.042893052
72,-4.658711,-8.697106
73,7.039115,6.9483542
74,-7.057929,1.9208258
75,-4.8638024,-6.645203
76,9.328471,-0.755826
77,6.34119,0.16085093
78,-5.180111,-0.48957175
79,-8.06337,0.052882213
80,-4.8931513,-5.2394347
81,5.366004,-3.084478
82,-4.161617,2.9721513
83,0.7946828,4.822495
84,2.998672,-5.13959
85,-6.3339176,-4.176851
86,-5.3396606,-0.39114022
87,3.713794,2.3373275
88,-1.4016109,7.8757763
89,-7.004722,-4.4485464
90,3.0662115,-6.93211
91,-2.5063672,-2.5283434
92,-3.700303,-4.15951
93,-2.284381,0.80252254
94,0.7927442,4.546686
95,-5.1232557,2.2432175
96,-4.4790273,1.6774106
97,-2.7888799,-7.810809
98,-2.0257359,-4.8924613
99,4.8993497,2.6138527
100,-8.959408,-0.4291257
101,-6.504223,-6.607224
102,-2.7771213,-0.497148
103,3.9405107,-5.9820395
104,-6.821159,-6.0715065
105,0.41621274,4.7188525
106,-11.953452,1.8518353
107,-2.6208136,-3.231318
108,4.278396,2.354295
109,4.207334,-9.560401
110,-4.2652383,-0.6942359
111,3.8538592,-4.8226333
112,-2.536084,-2.1226473
113,-4.585642,-1.2148262
114,-4.5942607,-2.3389602
115,-5.9222093,-1.0784646
116,-4.116393,-7.2300034
117,-6.267807,1.5686014
118,-5.590149,-3.7457483
