id,x,y
0,-12.211204,44.193825
1,-12.378859,44.53622
2,-12.847268,45.82417
3,-12.755269,45.41369
4,-11.744957,48.540085
5,-8.844736,47.974094
6,0.10149976,41.482513
7,2.9870114,39.557137
8,3.4650161,39.41709
9,2.3609147,40.08311
10,-2.7207656,43.976547
11,-0.4286102,42.509697
12,4.029231,39.123554
13,-0.9575889,42.060596
14,-7.233383,47.370525
15,-8.509889,48.409573
16,-10.214018,48.962273
17,-6.123533,46.597675
18,-6.9513836,47.09362
19,-8.041611,47.807747
20,-9.662635,48.329567
21,-12.465236,47.905453
22,-6.0047126,46.110836
23,1.7128812,40.77118
24,0.46468014,42.4883
25,4.261038,40.265
26,4.7879524,40.222973
27,4.651597,40.606976
28,2.289945,42.564194
29,-5.8414807,44.79058
30,-11.853729,48.477646
31,-11.466558,48.704815
32,-11.241442,48.799625
33,-4.2629457,45.270897
34,-5.311315,45.489845
35,-3.5930946,44.723225
36,2.5422237,39.687016
37,1.6709243,40.395866
38,-1.8700454,43.352123
39,2.0810466,40.38807
40,-1.4196968,42.767727
41,3.1541786,39.37596
42,-4.1929765,45.031563
43,-2.651054,43.949
44,-9.040479,48.5994
45,-9.413703,48.653122
46,-3.34433,44.693657
47,0.19007123,41.344162
48,-0.76744074,42.1286
49,2.8716109,39.4214
50,-0.18349713,41.744633
51,-10.074529,48.758427
52,-12.479712,47.895866
53,-10.485016,48.92847
54,-4.678514,45.409298
55,3.6587636,39.84815
56,4.181508,39.32983
57,3.3445961,40.38176
58,-5.2179985,45.289055
59,-10.457411,48.4799
60,-4.3106647,45.148483
61,-6.2067547,46.482178
62,-8.4921055,48.09405
63,-10.654586,48.621475
64,-12.845497,45.80586
65,-12.761517,47.188824
66,-10.610517,48.993984
67,-9.171791,48.61016
68,-8.060329,47.815907
69,-1.1297808,42.78859
70,2.577811,40.14556
71,2.143356,40.35763
72,-0.71223617,42.788906
73,-4.62732,45.744564
74,0.2730534,41.519993
75,-3.5265734,44.478264
76,0.64153796,41.619164
77,-4.9915476,45.800484
78,-2.0002205,43.612988
79,1.6811686,40.568474
80,2.787571,39.789303
