id,x,y
21,-4.3028517,3.4188921
0,-0.12409076,-2.028013
100,-4.8389935,-5.5747705
80,-7.3500657,-2.2374446
60,-7.5699563,2.8215818
40,-2.6138704,3.784404
72,-6.65769,-1.0271957
69,-5.352534,-1.048271
68,-5.613319,-1.5807045
74,-5.604211,-2.011278
64,-6.243593,-1.6020262
79,-5.218829,-2.0346932
75,-5.663335,-0.7816677
65,-5.824158,-1.3496147
78,-6.4390483,-1.8662075
77,-6.6183057,-1.5348111
71,-6.331722,-0.6518185
61,-6.009379,-1.0509928
66,-5.960687,-2.136365
63,-5.9968767,-0.604356
76,-5.279581,-0.93657774
62,-5.035336,-1.4128208
73,-5.2245345,-1.6318907
67,-6.470288,-1.0970645
70,-6.0750113,-2.0392077
95,-6.3739977,-5.999139
49,-10.652292,3.8262424
50,-10.828167,3.4106913
48,-10.431958,4.1155763
87,-4.225103,-6.8070645
90,-5.123293,-7.3214703
82,-3.7737224,-5.329548
84,-3.7519364,-5.7210994
94,-6.346906,-6.4050307
47,-10.086366,4.3985567
51,-10.868472,3.0911512
98,-5.827955,-5.1850705
85,-4.003232,-6.2538185
46,-9.713053,4.5800714
91,-5.696918,-7.0376277
54,-10.387848,1.8643826
8,0.2744327,-2.024461
6,-0.37717107,-1.4143103
9,-0.6457608,-2.7801538
7,0.54296464,-3.0819108
10,-0.72819656,-0.31188557
45,-9.384116,4.6432376
55,-10.132352,1.6253687
4,-1.2718613,-1.9099218
52,-10.830349,2.6966312
3,0.86068225,-0.8117947
53,-10.693775,2.2984304
44,-8.857038,4.645249
5,1.4795887,-1.9979258
1,-0.6724922,-0.46902236
20,-1.2188061,3.3834026
101,-1.7071747,3.6279342
11,-1.2314813,3.4260793
56,-9.735186,1.4924486
2,-0.9423708,3.196744
43,-8.443364,4.451061
57,-9.325707,1.4520597
42,-8.179033,4.3873587
58,-8.902,1.5433095
102,-7.1538944,2.48615
105,-2.6381,-4.3044963
41,-7.856619,3.8211217
59,-8.195136,1.8779253
96,-6.4866624,-5.5511246
88,-4.3859167,-7.429842
89,-4.599438,-7.263397
97,-6.2320323,-5.236136
92,-6.123159,-7.114548
81,-3.7337844,-5.1065893
99,-5.542064,-5.216466
93,-6.248899,-6.8710647
86,-3.7122416,-6.7986007
83,-3.6911619,-5.2232356
38,-3.7257211,1.3728763
15,-0.38017425,-1.4273312
17,0.3451233,-2.0480652
18,-0.72636086,-2.89278
16,0.5666877,-3.1783643
23,-4.353005,2.7200725
32,-4.5624075,1.5949061
37,-4.241195,1.4230379
22,-3.7922702,2.703432
24,-3.4183934,2.284064
34,-3.3578763,2.2458487
27,-3.9589872,1.4211452
19,-0.74646866,-0.2962395
26,-4.0316753,2.5189888
30,-4.089547,2.1073933
13,-1.4119369,-1.9118721
33,-4.6210093,2.5230474
36,-3.347209,1.8051473
28,-3.4831872,1.697769
25,-3.6850216,2.7585053
39,-4.65792,1.887355
29,-4.752932,2.0187259
35,-4.0379057,1.9072895
14,1.537092,-1.991239
12,0.90005326,-0.7296507
31,-4.701282,2.4173868
103,-7.414488,2.1259828
104,-5.154141,-3.8196704
